,original_code,price_code,mintit_code,bunjang_code,joongabi_code
0,SM-N986,256.0,DGTLSSSMN986N256GB,SM-N986,SM-N986
1,SM-N981,256.0,DGTLSSSMN981N256GB,SM-N981,SM-N981
2,SM-N976,512.0,DGTLSSGN10P5G512GB,SM-N976_512G,SM-N976-512G
3,SM-N976,256.0,DGTLSSGN10P5G256GB,SM-N976_256G,SM-N976-256G
4,SM-N971,256.0,DGTLSSGN105G256GB,SM-N971_256G,SM-N971-256G
5,SM-N960,512.0,DGTLSSGN9512GB,SM-N960_512G,SM-N960-512G
6,SM-N960,128.0,DGTLSSGN9128GB,SM-N960_128G,SM-N960-128G
7,SM-N950,256.0,DGTLSSGN8256GB,SM-N950_256G,SM-N950-256G
8,SM-N950,64.0,DGTLSSGN864GB,SM-N950_64G,SM-N950-64G
9,SM-G998,512.0,DGTLSSSMG998N512GB,,SM-G998-512G
10,SM-G998,256.0,DGTLSSSMG998N256GB,,SM-G998-256G
11,SM-G998,5.0,,SM-G998N,
12,SM-G996,256.0,DGTLSSSMG996N256GB,,SM-G996
13,SM-G996,5.0,,SM-G996N,
14,SM-G991,256.0,DGTLSSSMG991N256GB,,SM-G991
15,SM-G991,5.0,,SM-G991N,
16,SM-G988,512.0,DGTLSSGS20U512GB,,
17,SM-G988,256.0,DGTLSSGS20U256GB,SM-G988,SM-G988
18,SM-G986,256.0,DGTLSSGS20P256GB,SM-G986,SM-G986
19,SM-G981,128.0,DGTLSSGS20128GB,SM-G981,SM-G981
20,SM-G977,512.0,DGTLSSGS105G512GB,SM-G977_512G,SM-G977-512G
21,SM-G977,256.0,DGTLSSGS105G256GB,SM-G977_256G,SM-G977-256G
22,SM-G975,1024.0,DGTLSSGS10P1TB,SM-G975_1T,SM-G975-1T
23,SM-G975,512.0,DGTLSSGS10P512GB,SM-G975_512G,SM-G975-512G
24,SM-G975,128.0,DGTLSSGS10P128GB,SM-G975_128G,SM-G975-128G
25,SM-G973,512.0,DGTLSSGS10512GB,SM-G973_512G,SM-G973-512G
26,SM-G973,128.0,DGTLSSGS10128GB,SM-G973_128G,SM-G973-128G
27,SM-G970,128.0,DGTLSSGS10E128GB,SM-G970_128G,SM-G970-128G
28,SM-G970,256.0,,SM-G970_256G,SM-G970-256G
29,SM-G965,256.0,DGTLSSSMG965256GB,SM-G965_256G,SM-G965-256G
30,SM-G965,64.0,DGTLSSSMG96564GB,SM-G965_64G,SM-G965-64G
31,SM-G960,64.0,DGTLSSSM96064GB,SM-G960,SM-G960
32,SM-G955,128.0,DGTLSSSMG955128GB,SM-G955_128G,SM-G955-128G
33,SM-G955,64.0,DGTLSSSMG95564GB,SM-G955_64G,SM-G955-64G
34,SM-G950,64.0,DGTLSSSMG95064GB,SM-G950_64G,SM-G950
35,SM-G950,128.0,,SM-G950_128G,
36,SM-F916,256.0,DGTLSSSMF916N256GB,SM-F916N,SM-F916
37,SM-F907,512.0,DGTLSSGFOLD512GB,SM-F907N,SM-F907
38,SM-F707,256.0,DGTLSSSMF707N256GB,,SM-F707
39,SM-F707,5.0,,SM-F707,
40,SM-F700,256.0,DGTLSSGZF256GB,SM-F700,SM-F700
41,SM-A908,128.0,DGTLSSGA905G128GB,SM-A908N,SM-A908
42,SM-A805,128.0,DGTLSSSMA805128GB,SM-A805N,SM-A805
43,SM-A716,128.0,DGTLSSSMA716128GB,,SM-A716
44,SM-A716,5.0,,SM-A716S,
45,SM-A505,64.0,DGTLSSSMA50564GB,SM-A505N,SM-A505
46,SM-A405,64.0,DGTLSSSMA40564GB,SM-A405S,SM-A405
47,SM-A315,64.0,DGTLSSSMA31564GB,,
48,SM-A315,,,SM-A315N,SM-A315
