"pr_id","pr_model_code","pr_model_name","pr_star","pr_market","pr_write_id","pr_upload_date","pr_title","pt_text","pr_url","pr_valid"
"1","A2221","iphone11",\n,"11번가","kyu*****","2020-01-15",\n,"요약: 토요일 주문시 당일배송 불가 배송지변경하면 헬 
 
토요일에 주문 혹시 당일배송될까 서울 모 지역 집으로 배송요청함. 근데 오후가되도 연락이 안와서 해피콜 두군데(티다이렉트샵, 오늘배송업체) 1. 전화 
두군에서 서로 권한을 넘김 티다이렉트샵왈: 오늘배송쪽에 전화하세요. 2.오늘배송: 티다이렉트샵에 전화하세요. 
일단너그러운 마음으로 주말이라 안되는구나 하고 이해하기로함 
월요일: 아침 9시3.티다이렉트에 전화 직장쪽으로 바꾸길 원한다고함(인천) 배송변경되면 다음날받을수있다고 함 아님 취소하고 다시주문하면 당일받을수도 있다고함 헌데 동일할인조건이 안될수도있다함. 
또 배송지를 잘못한 나를 탓하며 너그러운 마음으로 이해함 
4. 월요일 한시경 티다이렉트 ; 오늘 서울 모로 배송받기로 하셨죠??? 하며 전화옴ㅋㅋㅋㅋㅋ 아니라고 하며 내용설명 상담원한테 해줌 
날 또 살짝 귀찮게 했지만 너그럽게 이해하기로함 
상담원왈: 내일 배송전에ㅡ전화할꺼다 
 
대망의 화요일 점심먹고도 연락이1도없음 
11번가 배송현황이 배송완료라고 나옴(당황 서울로 배송된거아냐?) 
5.2시전화: 티다이렉트 오늘배송오나요?? 몇시에오나요? 문의 
6.4시50분: 상담원: 오늘 오는데 저녁8시정도에 배송된다고 한다 
 나:????? 그때올거였음 서울 집으로 했지 뭐죠? 개통도 해야하는데요? 
 상담원:상담개통은 8:30분까지라 된다. 
 나: 그럼 배송오는 시간 정확히알려달라 8시다!도 아니고 그쯤이라면 너무하지 않냐 정확한 배송시간, 서울 수령여부 가능여부 
7.5시39분: 상담원:배송시간 알수없고 서울로 배송변경하면 하루더 연장 
 나: 너무늦으니까 내일 받는다 내일 언제 받을수 있는지 대략적 시간까지 알아봐달라 
8.5시54분: 티월드기사: 고객님 배송 6:30분가능합니다 
 나:?????상담원이 8시라고 했는데요? 네 일단오세요 
9.6:03분: 상담원: 고객님 오늘 배송은 8시이고....... 
 나: (이젠 많이참았다) 기사님이 오늘온다는데요?? 그리고 주절주절 
 상담원: 몰랐다..... (팩트) 그리고 기타등등 죄송하다 어쪄구들음 (뉘앙스는 어째든 오늘 배송되었으니 끝) 
10. 6시 15분경 티월드기사: 방문 핸드폰수령 
핸드폰보험 기타등등 물어보니이젠 114에 전화하라고 안내받음 
너그러운 나의마음들이 사라짐 
 
한줄요약: 핸드폰을 받았는데 기쁘지않음.이젠 114전화","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021","N"
"2","A2221","iphone11","3","11번가","som******","2019-12-23",\n,"금요일 오늘 출발로 오후 1시에 주문하며 당일 오후 6시 반경에 수령하였습니다. 추후 스스로 개통하길 희망하며 제품만 전달받았습니다. 
 우선 전면 기본 필름 내에 먼지가 끼어있고 전면 필름지가 미끄럽고 손대는 족족 유독 지문이 많이 묻어 찜찜하였고 특히 어떤 분의 문의와 동일하게 후면 카메라 테두리 부분에서 스크래치를 발견했습니다. (처음 사진) 
 그다지 크진 않았지만 거금을 주고 산 제품이 이런 코스메틱 이슈를 갖고 있다는 것이 다소 불쾌하여 서비스센터 내방을 하여 제품을 교환 받았습니다. 교환받은 제품마저 동일하게 후면 카메라 테두리에 미세한 스크래치가 또 발견되었지만(두 번째 사진), 계속 교환 요청을 한다한들 제대로 된 양품을 얻을 수 있을지 확신할 수 없어 (교환은 마지막에 개봉한 제품으로만 교환 가능하다고 하네요) 첫번째 교환으로 구매를 확정하였습니다. 
 정가보다 저렴하게 구매해서인지 제가 뽑기운이 없어서인지 둘 다 스크래치 상품이다보니 교환받은 이후도 만족스럽진 않네요. 
 그리고 제품 구매 시에 있는 요금할인의 경우 요금할인이 적용되는 요금제가 한정되어있는데, 이 페이지에서 내놓은 요금들은 다수가 요금할인제도가 적용되지 않습니다. 선택약정할인제도랑 요금할인제도랑 헷갈린 것인지 궁금하네요. 
 게다가 저는 요금할인제도에 해당하지 않는 요금제를 선택하였고, 선택약정할인제도 이용 중이라 공시지원을 받지 못해 요금할인제도 12개월만 선택하였는데 왜 개통해준 곳에서는 요금할인제도 24개월 약정을 걸어두었는지 모르겠습니다. 해당이 없어서 해지해도 문제가 없다지만 저의 동의도 없이 왜 12개월 계약 조건을 24개월로 설정해놓은 건지 궁금하네요.","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021","Y"
"3","A2221","iphone11","5","11번가","a03*****","2020-06-29",\n,"정말 고민끝에 여러 후기를 보고 저의 느낌 그리고 정식리퍼제품이란 확신 믿고 주문한번 해보자 하고 작은 돈이라면 작고 큰돈이라면 큰돈을 실물확인은 물건을 받아봐야 알수 있는 폰을 구입했어요 
구입한지 일주일이 다되어 가는 시점에 후기를 남겨보자면 와.. 만족 진짜 만족이에여 겉상태 새것처럼 깨끗하며 보증기간은 폰설정 확인상으론 구입시점으로 한달로 남아잇구요 배터리 성능은 당연히 100프로입니다 첨으로 오프라인이 아닌 온라인으로 기기구입인지라 걱정을 안했다면 거짓말이겠죠 그치만 현재까지 만족하며 너무 잘 사용하고 있어요 조금 ? 아쉬운건? 
기분 탓인지는 모르겟으나 그전폰(아이폰8+)에 비해 배터리가 조금 빨리 닳는듯한 기분과 충전속도가 조금 늦는듯한 기분이지만 폰자체는 큰문제 없이 잘 사용중입니다 8+ 같은 경우도 출시일때 구입하여 그땐 대리점에서 약정으루 ㅋㅋ 최근까지 사용하며 액정이 깨지구 지겨워(다른 큰문제는 없었지만ㅋㅋ) 스그사용 이번엔 실버로 햇더니 볼때마다 이뻐죽겠어요 시간날때 서비스센터도 한번 들려보려 합니다 혹시나 리퍼기간이 좀더 남아잇나 싶어 길이 좀 길었네요 아무튼 저처럼 구입 고민 많으시다면 후기들 많이 읽어보시고 느낌대로 확 질러보세요 !! 후회없지 싶어요 구입 고민이신 분들 구입하신다면 좋은 제품 받으시길 바라며 아주 만족하며 사용중인 구매자 후기였어요 ㅎㅎ","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19845697&trTypeCd=PW08&trCtgrNo=585021","Y"
"4","A2221","iphone11","5","11번가","koa****","2020-03-07",\n,"사실 배송이 정말 늦었습니다만 거의 뭐 직구폰 구매하는 기분이었습니다 서울에서 받는데 5일이라니 허헛 뭐 코로나라는 특수상황이라서 택배물류창고가 터져나간다는 이야기를 듣고는 그제서야 이해하고 인내의 시간을 가졌습니당 제품은 아주 정확하게 잘 왔습니다 S급을 주문한 만큼 품질은 너무나 명확하고 좋습니다 폰이 얼어서 그런지 처음에는 겉의 상태를 알 수 없어서 충전하면서 녹여서 알코올로 다 닦아 보니 아주 아주 미세한 기스 한군데 (사실 이건 제가 만지면서 생겼을지도) 말고는 전혀 문제 없었습니다 그리고 구매하신 많은 분들이 말씀하시는 케이블의 품질은 정말 오... 안좋습니다 그냥 이럴바에는 보호필름을 한 장 더 넣어주시는게 어떻나요 ㅎㅎㅎ 아 물론 건의입니다 주시는 케이스는 그 휴대폰 구매하러 가면 그냥 공짜로 주는 천원정도의 TPU투명 케이스입니다 딱 좋습니다 일단 S급에 + 1년 AS이정도에 이 가격이면 중고나라 저리가라 개이득입니다 아주 좋다고 생각합니다 정말정말 부정적인게 없지만 그래도 이 리뷰의 신빙성을 더하자면... 음 분명 검수를 하셨겠지만 하시면서.. 업데이트도 해주심이 어떤지 싶습니다 거의 업데이트가 3~4개가 밀려있어서 1시간째 업데이트 하고 초기화 돌리고 사용했습니다 이상입니다 감사합니다","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761027&trTypeCd=PW08&trCtgrNo=585021","Y"
"5","A2221","iphone11","5","SSG닷컴","jh******","2019-10-31","생각보다 하루 늦었지만 그래도 ","생각보다 하루 늦었지만 그래도 다른 곳보다 훨씬 빠르고 좋아요!!! 할인 받아서 저렴하게 구매했어요~~?? 자급제 폰이라 전에 사용하던 요금제 계속 사용할 수 있어서 좋고, 자급제라 당연한 말이지만 사은품 같은건 없어요. 몇세대 전 아이폰을 사용하다 넘어와서 그런지 확실히 빠릿빠릿하고 화면도 엄청 크네요. 그만큼 무게도 어마무시... 배젤은 프로 보다 넓긴 하지만 배젤을 보면서 핸드폰 하는게 아니라 화면에만 집중하다보면 거슬리는거는 전혀 없다고 보셔도 무방해요. 이마트할인하고 카드 청구할인 혜택 있을 때 구매하는게 제일 좋고 다른곳이랑 많이 비교할 수록 머리만 아프니깐 적당히 저렴하다고 생각할 때 지르는게 마음 편해요!!!ㅎㅎㅎ 카메라 화질이 엄청 좋아졌다고 하는데 실제로는 엄청 체감할 정도는 아니고 '좀 괜찮네~'정도라 많은 기대는 안 하시는게 좋아요!!! 요즘 스마트폰 카메라들이 평균적으로 상향평준화돼서...^^ 그리고 광각일때 전후면 다 오이현상은 피할 수 없으니 표현하고자 하는건 최대한 중앙에 놓고 찍으시길 추천드려요!!! 일반 모드는 오이현상 심하지 않아요~! 그리고 액정 노란거 싫으시면 트루톤 꼭 꺼주세요!! 근데 트루톤에 적응되면, 안 쓰면 눈아파요 ㅠㅠ","https://search.shopping.naver.com/catalog/20858274131?NaPm=ct%3Dkmobnp5k%7Cci%3D92831164a2714a472de6eb095bb5480564d536aa%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df0ad128ca5f8d88208e576199f26667bb72c6c55","Y"
"6","A2221","iphone11","5","11번가","nom**************","2020-07-17",\n,"화요일 오후에 구매해서 목요일 정오쯤 받았어요. 
택배 기사님이 연락도 없이 문 앞에 놓고 가셔서 하마터면 밤 늦게 확인할 뻔 했어요ㅠㅠ 
박스 안 뽁뽁이, 박스에도 뽁뽁이에 안전하게 포장돼서 잘 왔구요. 
제조년월 2020년 1월이라고 떠서 감동받았어요ㅠㅠ 외관도 멀쩡하고 리퍼니까 모델번호 당연히 F로 시작하겠거니 했는데 N으로 시작해서 더 감동! 
배터리 효율 100퍼센트구요, 3utools로 확인해보니 다 클리어에 100점떠서 너무 행복했어요 히히 
오늘 SK대리점 가서 확정기변까지 받았습니다. (SK 확정 기변이 인터넷으로 되는 줄 알았는데 안되더라구요. 오늘 나간 김에 대리점가서 후딱 하고 왔어요.) 
근데 보증이 만료됐다고 떠서... 리퍼기간이 끝난 것 같은데 ㅠㅠ 애플에 확인해보니까 보증이 만료된 기기가 맞다고 하더라구요. 그게 조금 마음에 걸리기는 한데...! 문의 남겼고 답변 받았으니 믿고 잘 쓰도록 하겠습니다! 
그 부분 빼면 너무 너무 너어어어무 만족해요! 
정말 새 폰이나 다름 없는 기기를 받아서 주변에 홍보하고 다니는 중입니다! 
같이 보내주신 케이스, 강화유리, 무선충전기, 충전기 다 잘 쓰겠습니다. 감사합니다=]","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19845697&trTypeCd=PW08&trCtgrNo=585021","Y"
"7","A2221","iphone11","5","SSG닷컴","se******","2020-03-28","동생 사다줬는데 매우 좋아했습�","동생 사다줬는데 매우 좋아했습니다 특히 색이 너무 이쁘고 그때 마침 4만원인가 세일도 해서 잘 샀던 기억이 납니다 동생은 조급해서 빨리 받아보고 싶어하는데 이 기종이 나오고 얼마 안 됐던 시기이고 인기색상이라고 물량 없어서 여기저기서 밀린다고 하던 때였습니다 돈은 조금 더 줬지만 다행히 여긴 그때도 물량이 있었어요 그래서 배송도 빠른 편이었습니다 주문 시작하고 삼일 정도 걸렸던 것 같고요 기계만 사는 건 번거롭게 통신사에 이것저것 뭐 끼워서 하지 않아도 되는 게 제일 큰 장점인 것 같아요 통신사 따라서 어디가 더 싼가 어떻게 해야 더 싸게 사나 따지기 골치 아프더라고요 몇 만원 더 싸게 사겠다고 이상한 루트로도 사던데 개인정보가 오고가는 일이라 그건 너무 찝찝하고.. 요금제도 이렇게 해야되고 저렇게 해야되고 주의해야할 제약이 너무 많더라고요 통신사 묶어서 한다고 해도 따지고 보면 결과적으로 그렇게까지 크게 싸게 하는 것도 아니고 상술도 섞여서 조금 싸게 산다고 크게 이득 보는 것도 아니게 되더라고요 기계만 바로 사버리니까 깔끔해서 아주 만족했습니다 하자 없이 지금까지 잘 쓰고 있네요 무엇보다 동생이 만족해서 기분이 좋습니다^^","https://search.shopping.naver.com/catalog/20858274131?NaPm=ct%3Dkmobnp5k%7Cci%3D92831164a2714a472de6eb095bb5480564d536aa%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df0ad128ca5f8d88208e576199f26667bb72c6c55","Y"
"8","A2221","iphone11","5","11번가","tha*********","2017-12-16",\n,"제품은 아주 좋습니다. 작년에 'ㅈ' 쇼핑몰에서 홍콩 직구로 구입했는데 고장이 나서 리퍼 보냈는데 며칠 째 소식이 없습니다. 문제가 아니다고 판명되면 배송료 10만원도 물어내야 합니다. 이번에 산 정식 리퍼 상품폰 가격이 저렴한 것도 맘에 들고 통신사 유이자 24개월 할부를 안내고 되고, 무이자를 길게 할 수 있다는 것도 좋았습니다. 제품을 합리적인 가격에 살 수 있어서 좋고요. 유심을 바꿨는데 당장 인식이 안된건 이상했습니다. (KT 사용) 대리점에 가보니 바로 되네요. 선택약정 25% 할인 받는 중이었습니다. 애플 정식 보증 기간이 3개월 미만 남은 건 아쉽습니다. 사진 찍을 때 '찰칵' 소리 안나고 부드러운 벨 소리가 나는데, 애당초 국내향으로 제작된게 맞나 싶습니다만 이건 장점인 거 같습니다. 추가 상품으로 구매한 건 많이 별로 입니다. 이어폰은 정품인 거 같은데 중국 스티거가 붙어있고 아답터, 케이블은 정품은 아니고 애플 인증 문구도 안 보입니다. 추가 상품은 매우 후회되네요. 2개나 샀는데, 본품이 아주 맘에 들어 별 5개 드립니다. 하나머니를 통해 현금화 시킬 수 있는 ok 캐시백도 1만원 좀 넘게 주네요.","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19845697&trTypeCd=PW08&trCtgrNo=585021","N"
"9","A2221","iphone11",\n,"11번가","jiy******","2020-01-12",\n,"기변으로 당일 도착으로 주문했습니다 
주문후 개통에 대한 불안함때문에 1:1 톡상담을 했는데요 상담사가 기기변경후 유심만 꽂으면 바로 될거라는 답변을 해주었습니다 
당일 퇴근후 7시10분쯤 받고 기존유심빼서 꽂고 마이그레이션으로 데이터 옮기고 이래저래 순조로웠죠 
드디어 완료. 하지만..개통만 빼곤 다 되네요 ㅋㅋㅋ 
급하게 콜센터에 전화를 합니다(8시 10분) 
콜센터 상담사: 택배도착은 유심만 꽂으면 바로 개통이 되지만, 당일도착의 경우는 고객이 직접전화해서 개통하셔야한다. 이전 톡상담사가 잘못안내한것같다 
개통가능시간은 오전9시-오후8시다!8시다!!!8시다!!! 
 
결국 당일 개통못했네요 당일도착은 꼭전화로 개통하라고 알려주셨으면 8시전에 충분히 당일개통 가능했는데 정말 화가 났습니다 
 
두번째 
담날 개통후 보험가입하려구 t월드 어플 들어가서 제 가입상황 확인을해보았죠 
헉 이게왠일!! 
선택약정12개월은 제가 신청한건데 요금약정24개월이 걸려있는거죠 전화해서 당일에 바로 해지하긴했습니다만 찝찝하고 기분나쁩니다 제가 신청한게 아니니깐요!! 
 
다들 잘 확인후 가입하세요","https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021","N"
"10","A2221","iphone11","5","SSG닷컴","lj******","2020-04-01","아이폰11 퍼플색을 살려고 통신�","아이폰11 퍼플색을 살려고 통신사에 갔습니다. 하지만 퍼플이나 인기 좋은 제품의 색은 재고를 한달이상 기다려야한다고 해서 알아보던 중 애플에서 기계를 사야겠다고 마음먹은 인터넷을 통해 알아보게 되었습니다. 처음에는 인터넷에 사는게 꺼림직해서 미루고 미루고 있었는데 신세계 몰에서 파는 걸 알게되어 구매를 해야지 하며 마음먹고 결제를 하려 하는데  쿠폰에 카드할인까지 받으니까 원가보다 더 저렴하게 살 수 있었습니다. 배송도 주문하고 이틀인가 걸려서 왔고 포장도 엄청 꼼꼼하게 왔습니다. 그리고 따로 통신사가서 개통을 해야하나 싶었지만 전에 있던 유심칩을 이번에 새로 산 폰에 끼워 넣으니 전에 쓰던 제 연락처나 사진 등의 정보까지 바로 새 폰으로 넘어와서 전 처럼 어려움 없이 쓸 수 있어서 좋았고 다음 번에도 아이폰으로 폰을 바꾸게 된다면 통신사를 가는 것 보다 신세계 몰에서 할인도 받고 배송도 빠른 곳에서 구매하는 것이 좋겠다는 생각을 하였습니당 ! 여러분도 여기서 폰 구매하세용~~~!","https://search.shopping.naver.com/catalog/20858274131?NaPm=ct%3Dkmobnp5k%7Cci%3D92831164a2714a472de6eb095bb5480564d536aa%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Df0ad128ca5f8d88208e576199f26667bb72c6c55","Y"
