"sd_id","sd_model_name","sd_model_code","sd_maker","sd_release_date","sd_os","sd_sale_type","sd_display_cm","sd_display_in","sd_display_type","sd_display_resolution","sd_display_ppi","sd_display_hz","sd_display_aspect_ratio","sd_display_size","sd_display_width","sd_display_height","sd_display_hdr","sd_ap_type","sd_core","sd_core_clock","sd_gpu_core","sd_npu_dsp","sd_sensor_hub","sd_modem","sd_ram","sd_Builtin_memory","sd_storage","sd_external_memory","sd_5g","sd_4g","sd_wifi","sd_bluetooth","sd_satellite","sd_usim_type","sd_dual_usim","sd_camera_type","sd_back_camera","sd_front_camera","sd_camera_resolution","sd_flash","sd_photo_resolution","sd_front_resolution","sd_front_video_resolution","sd_camera_aperture","sd_hand_tremor_correction","sd_hand_tremor_protection","sd_camera_flash","sd_hdr_filming","sd_auto_hdr","sd_optical_zoom","sd_geotag","sd_laser_auto_focus","sd_auto_focus","sd_out_focus","sd_touch_focus","sd_panorama","sd_tof","sd_night_photography","sd_iphone_terminal","sd_speaker","sd_high_sound_quality","sd_sound_technology","sd_fingerprint","sd_face","sd_iris","sd_voice","sd_ai","sd_payment","sd_touch_pen","sd_dustproof","cs_etc","cs_charging_terminal","sd_battery","sd_battery_type1","sd_battery_type2","sd_battery_type3","sd_battery_terminal","sd_fast_charge","sd_wireless_charge","sd_color","sd_width","cs_height","cs_thickness","cs_weight"
"1","아이폰11","A2221","apple",\n,"iOS13","통신사가입-SKT","15.49","6.1","IPS-LCD","1792x828","326","60Hz","19.5:9","79.00%",\n,\n,\n,"애플 A13 Bionic","헥사(6)코어",\n,\n,\n,\n,\n,"4GB","128GB",\n,"MicroSD 미지원",\n,"LTE-A Cat.19","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1,200만+1,200만","1,200만+TOF 3D","2160p(UHD),24fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)+전자식손떨림보정(EIS)",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"스테레오(2개)",\n,\n,\n,"FaceID",\n,\n,"Siri","애플페이(국내미지원)",\n,"IP68",\n,"라이트닝8핀","3110",\n,\n,"배터리일체형","최대18W","고속충전지원","Qi무선충전",\n,"75.7","150.9","8.3","194"
"2","아이폰11 Pro","A2215","apple",\n,"iOS13","공기계-새제품","14.73","5.8","OLED","2436x1125","458","60Hz","19.5:9","82.10%",\n,\n,"돌비비젼+HDR10","애플 A13 Bionic","헥사(6)코어",\n,\n,\n,\n,\n,"4GB","256GB",\n,"MicroSD 미지원",\n,"LTE-A Cat.19","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1,200만+1,200만+1,200만","1,200만+TOF 3D","2160p(UHD),24fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)+전자식손떨림보정(EIS)","○",\n,"○",\n,"○",\n,\n,"○",\n,\n,\n,"○","○",\n,"스테레오(2개)",\n,\n,\n,"FaceID",\n,\n,"Siri","애플페이(국내미지원)",\n,"IP68",\n,"라이트닝8핀","3190",\n,\n,"배터리일체형","최대18W","USB PD3.0","Qi무선충전",\n,"71.4","144","8.1","188"
"3","아이폰11 Pro Max","A2218","apple",\n,"iOS13","통신사가입-SKT","16.51","6.5","OLED","2688x1242","458","60Hz","19.5:9","83.70%",\n,\n,"돌비비젼+HDR10","애플 A13 Bionic","헥사(6)코어",\n,\n,\n,\n,\n,"4GB","64GB",\n,"MicroSD 미지원",\n,"LTE-A Cat.19","802.11 a/b/g/n/ac/ax","v5.0",\n,"나노유심",\n,\n,"1,200만+1,200만+1,200만","1,200만+TOF 3D","2160p(UHD),24fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)+전자식손떨림보정(EIS)",\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,\n,"스테레오(2개)",\n,\n,\n,"FaceID",\n,\n,"Siri","애플페이(국내미지원)",\n,"IP68",\n,"라이트닝8핀","3500",\n,\n,"배터리일체형","최대18W","USB PD3.0","Qi무선충전",\n,"77.8","158","8.1","226"
"4","아이폰Xs","A2097","apple",\n,"iOS12","가개통/중고","14.73","5.8","S-AMOLED","2436x1125","458","60Hz","19.5:9","82.90%",\n,\n,"돌비비젼+HDR10","애플 A12 Bionic","헥사(6)코어","2.5GHz+1.53GHz","APPLE G11P",\n,\n,\n,"4GB","64GB","NVMe","MicroSD 미지원",\n,"LTE-A Cat.16","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,200만+1,200만","700만","2160p(UHD),24fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)","○","○","○",\n,"○",\n,\n,"○",\n,\n,\n,\n,\n,\n,"스테레오(2개)","24비트 음원재생",\n,\n,"FaceID",\n,\n,"Siri","애플페이(국내미지원)",\n,"IP68",\n,"라이트닝8핀",\n,\n,\n,"배터리일체형","최대15W","고속충전지원","Qi무선충전: 최대7.5W",\n,"70.9","143.6","7.7","177"
"5","아이폰Xs Max","A2101","apple",\n,"iOS12","가개통/중고","16.51","6.5","S-AMOLED","2688x1242","458","60Hz","19.5:9","84.40%",\n,\n,"돌비비젼+HDR10","애플 A12 Bionic","헥사(6)코어","2.5GHz+1.53GHz","APPLE G11P",\n,\n,\n,"4GB","64GB","NVMe","MicroSD 미지원",\n,"LTE-A Cat.16","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,200만+1,200만","700만","2160p(UHD),24fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)","○","○","○",\n,"○",\n,\n,"○",\n,\n,\n,\n,\n,\n,"스테레오(2개)","24비트 음원재생",\n,\n,"FaceID",\n,\n,"Siri","애플페이(국내미지원)",\n,"IP68",\n,"라이트닝8핀",\n,\n,\n,"배터리일체형","최대15W","고속충전지원","Qi무선충전: 최대7.5W",\n,"77.4","157.5","7.7","208"
"6","아이폰Xr","A2105","apple",\n,"iOS12","가개통/중고","15.49","6.1","IPS-LCD","1792x828","326","60Hz","19.5:9","79%",\n,\n,"돌비비젼+HDR10","애플 A12 Bionic","헥사(6)코어","2.5GHz+1.53GHz","APPLE G11P",\n,\n,\n,"3GB","64GB","NVMe","MicroSD 미지원",\n,"LTE-A Cat.12","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,200만","700만","2160p(UHD),24fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)","○","○","○",\n,\n,\n,\n,"○",\n,\n,\n,\n,\n,\n,"스테레오(2개)","24비트 음원재생",\n,\n,"FaceID",\n,\n,"Siri","애플페이(국내미지원)",\n,"IP67",\n,"라이트닝8핀","2942",\n,\n,"배터리일체형","최대15W","고속충전지원","Qi무선충전: 최대7.5W",\n,"75","150.9","8.3","194"
"7","아이폰X","A1901","apple",\n,"iOS 11","가개통/중고","14.73","5.8","AMOLED","2436x1125","458","60Hz","19.5:9","92%",\n,\n,"돌비비젼+HDR10","애플 A11 Bionic","헥사(6)코어","2.4GHz+1.3GHz",\n,\n,\n,\n,"3GB","64GB","NVMe","MicroSD 미지원",\n,"LTE-A Cat.12","802.11 a/b/g/n/ac","v5.0",\n,"나노유심",\n,\n,"1,200만+1,200만","700만","2160p(UHD),60fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)","○","○","○",\n,"○","○",\n,"○",\n,"○",\n,\n,\n,\n,"스테레오(2개)",\n,\n,\n,"FaceID",\n,\n,"Siri","애플페이(국내미지원)",\n,"IP67",\n,"라이트닝8핀","2716",\n,\n,"배터리일체형","최대15W",\n,"Qi무선충전: 최대7.5W",\n,"70.9","143.6","7.7","174"
"8","아이폰7 Plus","A1784","apple",\n,"iOS10","가개통/중고",\n,"5.5","IPS-LCD","1920x1080","401",\n,"16:09","79.20%",\n,\n,\n,"애플A10 Fusion","쿼드(4)코어","2.3GHz","PowerVR GT7600+",\n,\n,\n,"3GB","32GB","NVMe","MicroSD 미지원",\n,"LTE-A Cat.9","802.11 a/b/g/n/ac","v4.2",\n,"나노유심",\n,\n,"1,200만","700만","2160p(UHD),30fps",\n,\n,\n,\n,"F1.8","광학식손떨림보정(OIS)","○","○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,\n,"스테레오(2개)",\n,\n,"지문인식",\n,\n,\n,"Siri","애플페이(국내미지원)",\n,"IP67",\n,"라이트닝8핀","2900",\n,\n,"배터리일체형",\n,\n,\n,\n,"77.9","158.2","7.3","188"
"9","아이폰6s","A1688","apple",\n,"iOS9","가개통/중고","11.93","4.7","IPS-LCD","1334x750","326",\n,"16:09","77.70%",\n,\n,\n,"애플A9",\n,\n,"PowerVR GT7600",\n,\n,\n,"2GB","32GB","NVMe","MicroSD 미지원",\n,"LTE-A Cat.6","802.11 a/b/g/n/ac","v4.0",\n,"나노유심",\n,\n,"1,200만","500만","2160p(UHD),30fps",\n,\n,\n,\n,"F2.2","광학식손떨림보정(OIS)","○","○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm",\n,\n,\n,"지문인식",\n,\n,\n,"Siri",\n,\n,\n,\n,"라이트닝8핀","1715",\n,\n,"배터리일체형",\n,\n,\n,\n,"67.1","138.2","7.1","143"
"10","아이폰6s Plus","A1687","apple",\n,"iOS9","가개통/중고","13.97","5.5","IPS-LCD","1920x1080","401",\n,"16:09","79.20%",\n,\n,\n,"애플A9",\n,\n,"PowerVR GT7600",\n,\n,\n,"2GB","16GB","NVMe","MicroSD 미지원",\n,"LTE-A Cat.6","802.11 a/b/g/n/ac","v4.0",\n,"나노유심",\n,\n,"1,200만","500만","2160p(UHD),30fps",\n,\n,\n,\n,"F2.2","광학식손떨림보정(OIS)","○","○","○",\n,\n,"○",\n,"○",\n,"○",\n,\n,\n,"3.5mm",\n,\n,\n,"지문인식",\n,\n,\n,"Siri",\n,\n,\n,\n,"라이트닝8핀","2750",\n,\n,"배터리일체형",\n,\n,\n,\n,"77.9","158.2","7.3","192"
