sc_id,sc_model_name,sc_model_code,sc_maker,sc_release_date,sc_os,sc_sale_type,sc_display_cm,sc_display_in,sc_display_type,sc_display_resolution,sc_display_ppi,sc_display_hz,sc_display_aspect_ratio,sc_display_size,sc_display_width,sc_display_height,sc_display_hdr,sc_ap_type,sc_core,sc_core_clock,sc_gpu_core,sc_npu_dsp,sc_sensor_hub,sc_modem,sc_ram,sc_Builtin_memory,sc_storage,sc_external_memory,sc_5g,sc_4g,sc_wifi,sc_bluetooth,sc_satellite,sc_usim_type,sc_dual_usim,sc_camera_type,sc_back_camera,sc_front_camera,sc_camera_resolution,sc_flash,sc_photo_resolution,sc_front_resolution,sc_front_video_resolution,sc_camera_aperture,sc_hand_tremor_correction,sc_hand_tremor_protection,sc_camera_flash,sc_hdr_filming,sc_auto_hdr,sc_optical_zoom,sc_geotag,sc_laser_auto_focus,sc_auto_focus,sc_out_focus,sc_touch_focus,sc_panorama,sc_tof,sc_night_photography,sc_iphone_terminal,sc_speaker,sc_high_sound_quality,sc_sound_technology,sc_fingerprint,sc_face,sc_iris,sc_voice,sc_ai,sc_payment,sc_touch_pen,sc_dustproof,sn_etc,sn_charging_terminal,sc_battery,sc_battery_type1,sc_battery_type2,sc_battery_type3,sc_battery_terminal,sc_fast_charge,sc_wireless_charge,sc_color,sc_width,sc_height,sc_thickness,sc_weight
1,아이폰11,A2221,apple,2019. 09,iOS 13,,,6.1,IPS,828 x 1792,324,,,,64.99,140.65,,Apple A13 Bionic APL1W85,6개 (64 비트),2650MHz,,,,,4 GB,64GB/128GB/256GB,,,,4G,,5,,나노유심,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),3840 x 2160 60 FPS,F/1.8,,,,,,,,,,,,,,,,,,,,,,,,apple pay,,,,,3110,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,75.7,150.9,8.3,"194"
2,아이폰11 Pro,A2215,apple,2019. 09,iOS 13,,,5.8,OLED,1125 x 2436,463,,,,61.77,133.75,,Apple A13 Bionic APL1W85,6개 (64 비트),2650MHz,,,,,4 GB,64GB/256GB/512GB,,,,4G,,5,,나노유심,,,,,,LED,4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),3840 x 2160 60 FPS,F/1.8,,,,,,,,,,,,,,,,,,,,,,,,apple pay,,,,,3190,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,71.4,144,8.1,"188"
3,아이폰11 Pro Max,A2218,apple,2019. 09,iOS 13,,,6.5,OLED,1242 x 2688,456,,,,69.25,149.87,,Apple A13 Bionic APL1W85,6개 (64 비트),2650MHz,,,,,4 GB,64GB/256GB/512GB,,,,4G,,5,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),3840 x 2160 60 FPS,F/1.8,,,,,,,,,,,,,,,,,,,,,,,,apple pay,,,,,3500,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,77.8,158,8.1,"226"
4,아이폰Xs,A2097,apple,2018. 09,iOS 12,,,5.8,OLED,1125 x 2436,463,,,,61.77,133.75,,Apple A12 Bionic APL1W81,6개 (64 비트),2500MHz,,,,,4 GB,64GB/256GB/512GB,,,,4G,,5,,나노유심,,,,,,,4032 x 3024 (12.2 메가픽셀),3088 x 2316 (7.2 메가픽셀),60 FPS,F/1.8,,,,,,,,,,,,,,,,,,,,FaceID,,,,apple pay,,,,,2658,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,70.9,143.6,7.7,"177"
5,아이폰Xs Max,A2101,apple,2018. 09,iOS 12,,,6.5,OLED,1242 x 2688,456,,,,69.25,149.87,,Apple A12 Bionic APL1W81,6개 (64 비트),2500MHz,,,,,4 GB,64GB/256GB/512GB,,,,4G,,5,,나노유심,,,,,,,4032 x 3024 (12.2 메가픽셀),3088 x 2316 (7.2 메가픽셀),60 FPS,F/1.8,,,,,,,,,,,,,,,,,,,,FaceID,,,,apple pay,,,,,3174,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,77.4,157.5,7.9,"208"
6,아이폰Xr,A2105,apple,2018. 09,iOS 12,,,6.1,IPS,828 x 1792,324,,,,64.99,140.65,,Apple A12 Bionic APL1W81,6개 (64 비트),2500MHz,,,,,3 GB,64GB/128GB/256GB,,,,4G,,5,,나노유심,,,,,,,4032 x 3024 (12.2 메가픽셀),3088 x 2316 (7.2 메가픽셀),60 FPS,F/1.8,,,,,,,,,,,,,,,,,,,,FaceID,,,,apple pay,,,,,2942,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,75.7,150.9,8.3,"194"
7,아이폰X,A1901,apple,2017. 11,iOS 11,,,5.8,OLED,1125 x 2436,463,,,,61.77,133.75,,Apple A11 Bionic APL1W72,6개 (64 비트),2100MHz,,,,,3 GB,64GB/256GB,,,,4G,,5,,나노유심,,,,,,,4032 x 3024 (12.2 메가픽셀),3088 x 2320 (7.2 메가픽셀),3840 x 2160 60 FPS,F/1.8,,,,,,,,,,,,,,,,,,,,FaceID,,,,Apple Pay,,,,,2716,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,70.9,143.6,7.7,"174"
8,아이폰8,A1905,apple,2017. 09,iOS 11,,,4.7,IPS,750 x 1334,326,,,,58.51,104.06,,Apple A11 Bionic APL1W72,6개 (64 비트),2100MHz,,,,,2 GB,64GB/256GB,,,,4G,,5,,나노유심,,,,,,,4032 x 3024 (12.2 메가픽셀),,30 FPS,F/1.8,,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,1821,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,67.3,138.4,7.3,"148"
9,아이폰8 Plus,A1897,apple,2017. 09,iOS 11,,,5.5,IPS,1080 x 1920,401,,,,68.49,121.76,,Apple A11 Bionic APL1W72,6개 (64 비트),2100MHz,,,,,3 GB,64GB/256GB,,,,4G,,5,,나노유심,,,,,,,4032 x 3024 (12.2 메가픽셀),,30 FPS,F/1.8,,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,2691,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,78.1,158.4,7.5,"202"
10,아이폰7,A1778,apple,2016. 10,iOS 10 | iOS 11.4,,,4.7,IPS,750 x 1334,326,,,,58.51,104.06,,Apple A10 Fusion APL1W24,4개 (64 비트),2370MHz,PowerVR,,,,2 GB,32GB/128GB/256GB,,,,4G,,4.2,,나노유심,,,,,,,4032 x 3024 (12.2 메가픽셀),3088 x 2320 (7.2 메가픽셀),3840 x 2160 30 FPS,F/1.8,,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,1960,Li-Ion,,일체형,,,,,67.1,138.3,7.1,"138"
