sn_id,sn_model_name,sn_model_code,sn_maker,sn_release_date,sn_os,sn_sale_type,sn_display_cm,sn_display_in,sn_display_type,sn_display_resolution,sn_display_ppi,sn_display_hz,sn_display_aspect_ratio,sn_display_size,sn_display_width,sn_display_height,sn_display_hdr,sn_ap_type,sn_core,sn_core_clock,sn_gpu_core,sn_npu_dsp,sn_sensor_hub,sn_modem,sn_ram,sn_Builtin_memory,sn_storage,sn_external_memory,sn_5g,sn_4g,sn_wifi,sn_bluetooth,sn_satellite,sn_usim_type,sn_dual_usim,sn_camera_type,sn_back_camera,sn_front_camera,sn_camera_resolution,sn_flash,sn_photo_resolution,sn_front_resolution,sn_front_video_resolution,sn_camera_aperture,sn_hand_tremor_correction,sn_hand_tremor_protection,sn_camera_flash,sn_hdr_filming,sn_auto_hdr,sn_optical_zoom,sn_geotag,sn_laser_auto_focus,sn_auto_focus,sn_out_focus,sn_touch_focus,sn_panorama,sn_tof,sn_night_photography,sn_iphone_terminal,sn_speaker,sn_high_sound_quality,sn_sound_technology,sn_fingerprint,sn_face,sn_iris,sn_voice,sn_ai,sn_payment,sn_touch_pen,sn_dustproof,sn_etc,sn_charging_terminal,sn_battery,sn_battery_type1,sn_battery_type2,sn_battery_type3,sn_battery_terminal,sn_fast_charge,sn_wireless_charge,sn_color,sn_width,sn_height,sn_thickness,sn_weight
1,아이폰11,A2221,apple,,iOS 13.0 | 14,,0,6.1,IPS TFT-LCD,1792 x 828,326,60Hz,19.5:9,,,,,Apple A13 Bionic APL1W85 SoC.  ,,Apple Lightning MP2 2.66 GHz CPUApple Thunder MP4 1.72 GHz CPU,Apple 3rd Design GPU Architecture MP4 -.- GHz GPU,Apple 3rd Design Neural Engine MP8 NPU,NPU 대체,미탑재,4 GB LPDDR4X SDRAM,64/128/256, NVMe,,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, QZSS",,일부 모델 듀얼심 혹은 eSIM 연계 듀얼심 지원,,"1,200만  + 1,200만 "," 1,200만",,True Tone 플래시광학 2배줌 지원,,,,,,,,,,,,,,,,,,,,,,,,전면 SL 센서(TrueDepth 카메라 시스템) 인식 방식,,,,,,,"IP68 등급 방수 방진 지원, Dolby Atmos 기술 탑재,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,3110,내장형 Li-Ion  ,USB Power Delivery 2.0 (18 W),,,,,"블랙, 화이트, 옐로, 그린, 퍼플, (PRODUCT)RED",75.7,150.9,8.3,"194"
2,아이폰11 Pro,A2215,apple,,iOS 13.0 | 14,,0,5.8,HDR 지원 AMOLED,2436 x 1125,458,60Hz,19.5:9,,,,,Apple A13 Bionic APL1W85 SoC.  ,,Apple Lightning MP2 2.67 GHz CPUApple Thunder MP4 1.73 GHz CPU,Apple 3rd Design GPU Architecture MP4 -.- GHz GPU,Apple 3rd Design Neural Engine MP8 NPU,NPU 대체,미탑재,4 GB LPDDR4X SDRAM,64/256/512, NVMe,,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, QZSS",,일부 모델 듀얼심 혹은 e-SIM 연계 듀얼심 지원,,"1,200만 "," 1,200만",,듀얼-True Tone 플래시광학 2배줌 지원,,,,,,,,,,,,,,,,,,,,,,,,전면 SL 센서(TrueDepth 카메라 시스템) 인식 방식,,,,,,,"IP68 등급 방수 방진 지원, Dolby Atmos 기술 탑재,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,3046,내장형 Li-Ion  ,USB Power Delivery 2.0 (18 W),,,,,"스페이스 그레이, 실버, 골드, 미드나이트 그린",71.4,144,8.1,"188"
3,아이폰11 Pro Max,A2218,apple,,iOS 13.0 | 14,,0,6.5,HDR 지원 AMOLED,2688 x 1242,458,60Hz,19.5:9,,,,,Apple A13 Bionic APL1W85 SoC.  ,,Apple Lightning MP2 2.67 GHz CPUApple Thunder MP4 1.73 GHz CPU,Apple 3rd Design GPU Architecture MP4 -.- GHz GPU,Apple 3rd Design Neural Engine MP8 NPU,NPU 대체,미탑재,4 GB LPDDR4X SDRAM,64/256/512, NVMe,,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, QZSS",,일부 모델 듀얼심 혹은 e-SIM 연계 듀얼심 지원,,"1,200만 "," 1,200만",,듀얼-True Tone 플래시광학 2배줌 지원,,,,,,,,,,,,,,,,,,,,,,,,전면 SL 센서(TrueDepth 카메라 시스템) 인식 방식,,,,,,,"IP68 등급 방수 방진 지원, Dolby Atmos 기술 탑재,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,3969,내장형 Li-Ion  ,USB Power Delivery 2.0 (18 W),,,,,"스페이스 그레이, 실버, 골드, 미드나이트 그린",77.8,158,8.1,"226"
4,아이폰Xs,A2097,apple,,iOS 12.0 | 13 | 14,,0,5.8,HDR 지원 AMOLED,2436 x 1125,458,60Hz,19.5:9,,,,,Apple A12 Bionic APL1W81 SoC.  ,,Apple Vortex MP2 2.5 GHz CPUApple Tempest MP4 1.53 GHz CPU,Apple G11P MP4 1.1 GHz GPU,Apple Next-Generation Neural engine MP8 NPU,NPU 대체,미탑재,4 GB LPDDR4X SDRAM,64/256/512, NVMe,,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, QZSS",,,,"1,200만  + 1,200만 ", 700만,,쿼드-LED True Tone 플래시광학 2배줌 지원,,,,,,,,,,,,,,,,,,,,,,,,전면 SL 센서(TrueDepth 카메라 시스템) 인식 방식,,,,,,,"IP68 등급 방수 방진 지원, Dolby Atmos 기술 탑재,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",,2658,내장형 Li-Ion  ,USB Power Delivery 2.0 (18W),,,,,"스페이스 그레이, 실버, 골드",70.9,143.6,7.7,"177"
5,아이폰Xs Max,A2101,apple,,iOS 12.0 | 13 | 14,,0,6.5,HDR 지원 AMOLED,2688 x 1242,458,60Hz,19.5:9,,,,,Apple A12 Bionic APL1W81 SoC.  ,,Apple Vortex MP2 2.5 GHz CPUApple Tempest MP4 1.53 GHz CPU,Apple G11P MP4 1.1 GHz GPU,Apple Next-Generation Neural engine MP8 NPU,NPU 대체,미탑재,4GB LPDDR4X SDRAM,64/256/512, NVMe,,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, QZSS",,e-SIM 연계 듀얼심 지원,,"1,200만  + 1,200만 ", 700만,,쿼드-LED True Tone 플래시광학 2배줌 지원,,,,,,,,,,,,,,,,,,,,,,,,전면 SL 센서(TrueDepth 카메라 시스템) 인식 방식,,,,,,,"IP68 등급 방수 방진 지원, Dolby Atmos 기술 탑재,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,3174,내장형 Li-Ion  ,USB Power Delivery 2.0 (18 W),,,,,"스페이스 그레이, 실버, 골드",77.4,157.5,7.7,"208"
6,아이폰Xr,A2105,apple,,iOS 12.0 | 13 | 14,,0,6.1,IPS TFT-LCD,1792 x 828,326,60Hz,19.5:9,,,,,Apple A12 Bionic APL1W81 SoC.  ,,Apple Vortex MP2 2.5 GHz CPUApple Tempest MP4 1.53 GHz CPU,Apple G11P MP4 1.1 GHz GPU,Apple Next-Generation Neural engine MP8 NPU,NPU 대체,미탑재,3 GB LPDDR4X SDRAM,64/128/256, NVMe,,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, QZSS",,e-SIM 연계 듀얼심 지원,,, 700만,,,,,,,,,,,,,,,,,,,,,,,,,,전면 SL 센서(TrueDepth 카메라 시스템) 인식 방식,,,,,,,"IP67 등급 방수 방진 지원, Dolby Atmos 기술 탑재,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,2942,내장형 Li-Ion  ,USB Power Delivery 2.0 (18 W),,,,,"블랙, 화이트, 블루, 옐로, 코랄, (PRODUCT)RED",75.7,150.9,8.3,"194"
7,아이폰X,A1901,apple,,iOS 11.1 | 12 | 13  | 14,,0,5.8,HDR 지원 AMOLED,2436 x 1125,458,60Hz,19.5:9,,,,,Apple A11 Bionic APL1W72 SoC.  ,,Apple Monsoon Dual-Core 2.4 GHz CPUApple Mistral Quad-Core 1.6 GHz CPU,Apple 1st Design GPU Architecture Triple-Core 780 MHz GPU,Apple Neural engine Dual-Core NPU,Apple M11 모션 인식 프로세서,미탑재,3 GB LPDDR4X SDRAM,64/256, NVMe,,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, QZSS",,,,"1,200만  + 1,200만 ", 700만,,쿼드-LED True Tone 플래시광학 1.85배줌 지원,,,,,,,,,,,,,,,,,,,,,,,,전면 SL 센서(TrueDepth 카메라 시스템) 인식 방식,,,,,,,"IP67 등급 방수 방진 지원,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,2716,내장형 Li-Ion  ,USB Power Delivery 2.0 (18 W),,,,,"스페이스 그레이, 실버",70.9,143.6,7.7,"174"
8,아이폰8,A1905,apple,,iOS 11.0 | 12 | 13 | 14,,0,4.7,IPS TFT-LCD,1334 x 750,326,60Hz,16:9,,,,,Apple A11 Bionic APL1W72 SoC.  ,,Apple Monsoon Dual-Core 2.4 GHz CPUApple Mistral Quad-Core 1.6 GHz CPU,Apple 1st Design GPU Architecture Triple-Core 780 MHz GPU,Apple Neural engine Dual-Core NPU,Apple M11 모션 인식 프로세서,미탑재,2 GB LPDDR4X SDRAM,64/128/256, NVMe,,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, QZSS",,,,, 700만,,,,,,,,,,,,,,,,,,,,,,,,,에어리어 방식 별도 센서 탑재,,,,,,,,"IP67 등급 방수 방진 지원,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,1821,내장형 Li-Ion  ,USB Power Delivery 2.0 (12 W),,,,,"골드, 실버, 스페이스 그레이, (PRODUCT)RED, 레드",67.3,138.4,7.3,"148"
9,아이폰8 Plus,A1897,apple,,iOS 11.0 | 12 | 13 | 14,,0,5.5,IPS TFT-LCD,2208 x 1242,401,60Hz,16:9,,,,,Apple A11 Bionic APL1W72 SoC.  ,,Apple Monsoon Dual-Core 2.4 GHz CPUApple Mistral Quad-Core 1.6 GHz CPU,Apple 1st Design GPU Architecture Triple-Core 780 MHz GPU,Apple Neural engine Dual-Core NPU,Apple M11 모션 인식 프로세서,미탑재,3GB LPDDR4X SDRAM,64/128/256, NVMe,,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, QZSS",,,,"1,200만  + 1,200만 ", 700만,,쿼드-LED True Tone 플래시광학 2배줌 지원,,,,,,,,,,,,,,,,,,,,,,,에어리어 방식 별도 센서 탑재,,,,,,,,"IP67 등급 방수 방진 지원,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,2691,내장형 Li-Ion  ,USB Power Delivery 2.0 (18 W),,,,,"골드, 실버, 스페이스 그레이, (PRODUCT)RED",78.1,158.4,7.5,"202"
10,아이폰7,A1778,apple,,iOS 10.0 | 11 | 12 | 13 | 14,,0,4.7,IPS TFT-LCD,1334 x 750,326,60Hz,16:9,,,,,Apple A10 Fusion APL1W24 SoC.  ,,Apple Hurricane Dual-Core 2.3GHz CPUApple Zephyr Dual-Core 1.1GHz CPU,IT PowerVR GT7600 900 MHz GPU,미탑재,Apple M10 모션 인식 프로세서,미탑재,2GB LPDDR4 SDRAM,32/128/256, NVMe,,,4G,,4.2,"GPS & A-GPS, GLONASS, Galileo, QZSS",,,,, 700만,,,,,,,,,,,,,,,,,,,,,,,,,에어리어 방식 별도 센서 탑재,,,,,,,,"IP67 등급 방수 방진 지원,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,,,,,,,,"로즈 골드, 골드, 실버, 블랙, 제트 블랙, (PRODUCT)RED",67.1,138.3,7.1,"138"
11,아이폰7 Plus,A1784,apple,,iOS 10.0 | 11 | 12 | 13 | 14,,0,5.5,IPS TFT-LCD,2208 x 1242,401,60Hz,16:9,,,,,Apple A10 Fusion APL1W24 SoC.  ,,Apple Hurricane Dual-Core 2.3 GHz CPUApple Zephyr Dual-Core 1.1 GHz CPU,IT PowerVR GT7600 900 MHz GPU,미탑재,Apple M10 모션 인식 프로세서,미탑재,3GB LPDDR4 SDRAM,32/128/256, NVMe,,,4G,,4.2,"GPS & A-GPS, GLONASS, Galileo, QZSS",,,,"1,200만  + 1,200만 ", 700만,,쿼드-LED True Tone 플래시광학 2배줌 지원,,,,,,,,,,,,,,,,,,,,,,,에어리어 방식 별도 센서 탑재,,,,,,,,"IP67 등급 방수 방진 지원,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 조도, 근접",USB 2.0 Apple Lightning 8-pin x 1,,,,,,,,"로즈 골드, 골드, 실버, 블랙, 제트 블랙, (PRODUCT)RED",77.9,158.2,7.3,"188"
12,아이폰SE,A1723,apple,,iOS 9.3 | 10 | 11 | 12 | 13 | 14,,0,4,IPS TFT-LCD,1136 x 640,326,60Hz,16:9,,,,,Apple A9 APL0898 & APL1022 SoC.  ,,Apple Twister Dual-Core 1.85 GHz CPU,IT PowerVR GT7600 600 MHz GPU,미탑재,Apple M9 모션 인식 프로세서,미탑재,,,,,,4G,,4.2,"GPS & A-GPS, GLONASS",,,,, 120만,,,,,,,,,,,,,,,,,,,,,,,,,에어리어 방식 별도 센서 탑재,,,,,,,," [ 기타 탑재 센서 정보 ]가속도, 자이로, 조도, 근접","USB 2.0 Apple Lightning 8-pin, 3.5 mm 단자",,,,,,,,"스페이스 그레이, 실버, 골드, 로즈 골드",58.6,123.8,7.6,"113"
