name,code,skt,kt,lg
, LG-LV8500,,,LG:236500
G 스타일로 , LG-F560K,,KT:297000,
G 플렉스 , LG-F340K,,KT:233200,
G 플렉스 , LG-F340L,,,LG:799700
G 플렉스 , LG-F340S,SKT:799700,,
G3 비트 , LG-F470K,,KT:99000,
G3 비트 , LG-F470L,,,LG:352000
G3 비트 , LG-F470S,SKT:352000,,
G3 스크린 , LG-F490L,,,LG:154000
G3A , LG-F410S,SKT:451000,,
G6 (32GB) , LGM-G600KR,,KT:819500,
G6 (32GB) , LGM-G600LR,,,LG:819500
G6 (32GB) , LGM-G600SR,SKT:819500,,
G6 (64GB) , LGM-G600K,,KT:899800,
G6 (64GB) , LGM-G600L,,,LG:899800
G6 (64GB) , LGM-G600S,SKT:899800,,
G7 ThinQ (64GB) , LM-G710N,SKT:898700,KT:898700,LG:898700
G7 ThinQ (64GB) , LM-G710N,SKT:898700,KT:898700,LG:898700
G7 ThinQ (64GB) , LM-G710N,SKT:898700,KT:898700,LG:898700
G7 플러스 ThinQ (128GB) , LM-G710N,SKT:976800,KT:976800,LG:976800
G7 플러스 ThinQ (128GB) , LM-G710N,SKT:976800,KT:976800,LG:976800
G7 플러스 ThinQ (128GB) , LM-G710N,SKT:976800,KT:976800,LG:976800
G8 ThinQ , LM-G820N,SKT:897600,KT:897600,LG:897600
G8 ThinQ , LM-G820N,SKT:897600,KT:897600,LG:897600
G8 ThinQ , LM-G820N,SKT:897600,KT:897600,LG:897600
Gx2 (Gx2) , LG,,,LG:99000
iPhone6s Plus 128G 리퍼 (IPHONE6SPLUS) , RE,SKT:770000,,
iPhone6s Plus 16G 리퍼 (IPHONE6SPLUS) , RE,SKT:499400,,
iPhone6s Plus 64G 리퍼 (IPHONE6SPLUS) , RE,SKT:660000,,
LG G3 스크린 (G3) , LG,,,LG:154000
LG G6 플러스 , LGM-G600KP,,KT:957000,
LG G6 플러스 , LGM-G600LP,,,LG:957000
LG G6 플러스 , LGM-G600SP,SKT:957000,,
LG L70 , LG-D329,,KT:259600,
LG Q52 , LM-Q520N,SKT:330000,KT:330000,LG:330000
LG Q52 , LM-Q520N,SKT:330000,KT:330000,LG:330000
LG Q52 , LM-Q520N,SKT:330000,KT:330000,LG:330000
LG 워치 어베인 LTE , LG-W120L,,,LG:649000
LG 지엑스 , LG-F310L,,,LG:352000
LG 지프로2 , LG-F350K,,KT:33000,
LG 지프로2 , LG-F350L,,,LG:399300
LG 지프로2 , LG-F350S,SKT:572000,,
LG 키즈온 SKT용 , LG-W105S,SKT:154000,,
LG 키즈온 U+용 , LG-W105L,,,LG:154000
LG시그니처에디션 (SIGNATURE) , LGM-V300K,,KT:799700,
LG시그니처에디션 (SIGNATURE) , LGM-V300L,,,LG:949300
LG액션캠 , LG-R200L,,,LG:49500
LG액션캠 , LG-R200S,SKT:49500,,
LG윙 , LM-F100N,SKT:1098900,KT:1098900,LG:1098900
LG윙 , LM-F100N,SKT:1098900,KT:1098900,LG:1098900
LG윙 , LM-F100N,SKT:1098900,KT:1098900,LG:1098900
LG폴더 , LM-Y110K,,KT:220000,
LG폴더 , LM-Y110L,,,LG:220000
LG폴더 , LM-Y110S,SKT:220000,,
LG폴더2 , LM-Y120L,,,LG:198000
LG폴더2 , LM-Y120S,SKT:198000,,
Q31 , LM-Q310N,SKT:209000,KT:209000,LG:209000
Q31 , LM-Q310N,SKT:209000,KT:209000,LG:209000
Q31 , LM-Q310N,SKT:209000,KT:209000,LG:209000
Q51 , LM-Q510N,SKT:319000,KT:319000,LG:319000
Q51 , LM-Q510N,SKT:319000,KT:319000,LG:319000
Q51 , LM-Q510N,SKT:319000,KT:319000,LG:319000
Q6 , LG-X600K,,KT:419100,
Q6 , LG-X600L,,,LG:419100
Q6 , LG-X600S,SKT:419100,,
Q6+ , LGM-X600KP,,KT:484000,
Q6+ , LGM-X600LP,,,LG:484000
Q6+ , LGM-X600SP,SKT:484000,,
Q61 , LM-Q630N,SKT:369600,KT:369600,LG:369600
Q61 , LM-Q630N,SKT:369600,KT:369600,LG:369600
Q61 , LM-Q630N,SKT:369600,KT:369600,LG:369600
Q7 BTS 에디션 , LM-Q727K,,KT:473000,
Q7 BTS 에디션 , LM-Q727L,,,LG:473000
Q7 , LM-Q720K,,KT:419100,
Q7 , LM-Q720L,,,LG:419100
Q7 , LM-Q720S,SKT:419100,,
