pl_id,pl_maker,pl_model_code,pl_name,pl_model_name,나무링크,세티즌링크,다나와링크,
1,apple,A2221,아이폰11,iphone11,https://namu.wiki/w/iPhone%2011,https://review.cetizen.com/7214/view/3/7214/review,http://prod.danawa.com/info/?pcode=9571503&keyword=%EC%95%84%EC%9D%B4%ED%8F%B0%2011&cate=12215709,아이폰11
2,apple,A2215,아이폰11 Pro,iphone11 Pro,https://namu.wiki/w/iPhone%2011%20Pro,https://review.cetizen.com/7217/view/3/7217/review,http://prod.danawa.com/info/?pcode=9571470&keyword=%EC%95%84%EC%9D%B4%ED%8F%B0%2011%20%ED%94%84%EB%A1%9C&cate=12215709,아이폰11 Pro
3,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,https://namu.wiki/w/iPhone%2011%20Pro%20Max,https://review.cetizen.com/7220/view/3/7220/review,http://prod.danawa.com/info/?pcode=9686247&keyword=%EC%95%84%EC%9D%B4%ED%8F%B011%20Pro%20Max&cate=122514,아이폰11 Pro Max
4,apple,A2097,아이폰Xs,iphoneXs,https://namu.wiki/w/iPhone%20XS,https://review.cetizen.com/6915/view/3/6915/review,http://prod.danawa.com/info/?pcode=6541437&keyword=%EC%95%84%EC%9D%B4%ED%8F%B0Xs&cate=122515,아이폰Xs
5,apple,A2101,아이폰Xs Max,iphoneXs Max,https://namu.wiki/w/iPhone%20XS%20Max,https://review.cetizen.com/6916/view/3/6916/review,http://prod.danawa.com/info/?pcode=6576244&keyword=%EC%95%84%EC%9D%B4%ED%8F%B0Xs%20Max&cate=12215709,아이폰Xs Max
6,apple,A2105,아이폰Xr,iphoneXr,https://namu.wiki/w/iPhone%20XR,https://review.cetizen.com/6917/view/3/6917/review,http://prod.danawa.com/info/?pcode=6574142&keyword=%EC%95%84%EC%9D%B4%ED%8F%B0Xr&cate=12215709,아이폰Xr
7,apple,A1901,아이폰X,iphoneX,https://namu.wiki/w/iPhone%20X,https://review.cetizen.com/6520/view/3/6520/review,http://prod.danawa.com/info/?pcode=5789355&keyword=%EC%95%84%EC%9D%B4%ED%8F%B0X&cate=12215709,아이폰X
8,apple,A1905,아이폰8,iphone8,https://namu.wiki/w/iPhone%208,https://review.cetizen.com/6662/view/3/6662/review,http://prod.danawa.com/info/?pcode=5615613&keyword=%EC%95%84%EC%9D%B4%ED%8F%B08&cate=12215709,아이폰8
9,apple,A1897,아이폰8 Plus,iphone8 Plus,https://namu.wiki/w/iPhone%208%20Plus,https://review.cetizen.com/6664/view/3/6664/review,http://prod.danawa.com/info/?pcode=5811641&keyword=%EC%95%84%EC%9D%B4%ED%8F%B08%20Plus&cate=12215709,아이폰8 Plus
10,apple,A1778,아이폰7,iphone7,https://namu.wiki/w/iPhone%207,https://review.cetizen.com/6274/view/3/6274/review,http://prod.danawa.com/info/?pcode=4582669&keyword=%EC%95%84%EC%9D%B4%ED%8F%B07&cate=12215709,아이폰7
11,apple,A1784,아이폰7 Plus,iphone7 Plus,https://namu.wiki/w/iPhone%207%20Plus,https://review.cetizen.com/6427/view/3/6427/review,http://prod.danawa.com/info/?pcode=4637729&keyword=%EC%95%84%EC%9D%B4%ED%8F%B07%20Plus&cate=12215709,아이폰7 Plus
12,apple,A1723,아이폰SE,iphoneSE,https://namu.wiki/w/iPhone%20SE,https://review.cetizen.com/6321/view/3/6321/review,http://prod.danawa.com/info/?pcode=6758149&keyword=%EC%95%84%EC%9D%B4%ED%8F%B0%20se%201&cate=12215709,아이폰SE
13,apple,A1688,아이폰6s,iphone6s,https://namu.wiki/w/iPhone%206s,https://review.cetizen.com/6126/view/3/6126/review,http://prod.danawa.com/info/?pcode=6300830&keyword=%EC%95%84%EC%9D%B4%ED%8F%B06s&cate=12215709,아이폰6s
14,apple,A1687,아이폰6s Plus,iphone6s Plus,https://namu.wiki/w/iPhone%206s%20Plus,https://review.cetizen.com/6183/view/3/6183/review,http://prod.danawa.com/info/?pcode=3540468&keyword=%EC%95%84%EC%9D%B4%ED%8F%B06s%20Plus&cate=12215709,아이폰6s Plus
15,apple,A1586,아이폰6,iphone6,https://namu.wiki/w/iPhone%206,https://review.cetizen.com/6183/view/3/6183/review,http://prod.danawa.com/info/?pcode=3199723&keyword=%EC%95%84%EC%9D%B4%ED%8F%B0%206&cate=12215709,아이폰6
16,apple,A1524,아이폰6 Plus,iphone6 Plus,https://namu.wiki/w/iPhone%206%20Plus,https://review.cetizen.com/5893/view/3/5893/review,http://prod.danawa.com/info/?pcode=3199741&keyword=%EC%95%84%EC%9D%B4%ED%8F%B0%206%20%ED%94%8C%EB%9F%AC%EC%8A%A4&cate=12215709,아이폰6 Plus
17,apple,A1530,아이폰5s,iphone5s,https://namu.wiki/w/iPhone%205s,https://review.cetizen.com/5482/view/3/5482/review,http://prod.danawa.com/info/?pcode=3278570&keyword=%EC%95%84%EC%9D%B4%ED%8F%B0%205S&cate=12215709,아이폰5s
18,apple,A1532,아이폰5c,iphone5c,https://namu.wiki/w/iPhone%205c,,,아이폰5c
19,apple,A1428,아이폰5,iphone5,https://namu.wiki/w/iPhone%205,,http://prod.danawa.com/info/?pcode=3521557&keyword=%EC%95%84%EC%9D%B4%ED%8F%B05&cate=12215709,아이폰5
20,apple,A1387,아이폰4s,iphone4s,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B04s,https://review.cetizen.com/5101/view/3/5101/review,http://prod.danawa.com/info/?pcode=2858685&keyword=%EC%95%84%EC%9D%B4%ED%8F%B04s%EC%A4%91%EA%B3%A0&cate=12215709,아이폰4s
21,apple,A1332,아이폰4,iphone4,https://namu.wiki/w/iPhone%204,https://review.cetizen.com/4856/view/3/4856/review,"http://prod.danawa.com/info/?pcode=1984716&keyword=APPLE%20%20%EC%95%84%EC%9D%B4%ED%8F%B0%204%2016GB,%20%EA%B3%B5%EA%B8%B0%EA%B3%84&cate=12215709",아이폰4
22,samsung,SM-A908,갤럭시 A90 5G,Galaxy A90 5G,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A90%205G,https://review.cetizen.com/7199/view/3/7199/review,http://prod.danawa.com/info/?pcode=9524361&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A90%205G&cate=12215709,갤럭시 A90 5G
23,samsung,SM-A505,갤럭시 A50,Galaxy A50,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A50,https://review.cetizen.com/7134/view/3/7134/review,http://prod.danawa.com/info/?pcode=9277314&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A50&cate=12215709,갤럭시 A50
24,samsung,SM-A405,갤럭시 A40,Galaxy A40,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A40,https://review.cetizen.com/7157/view/3/7157/review,http://prod.danawa.com/info/?pcode=9825498&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A40&cate=12215709,갤럭시 A40
25,samsung,SM-A305,갤럭시 A30,Galaxy A30,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A30,https://review.cetizen.com/7101/view/3/7101/review,http://prod.danawa.com/info/?pcode=7872553&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A30&cate=12215709,갤럭시 A30
