model_code,price
SM-A325N,SKT:374000|KT:374000|LG:374000
SM-A426N,SKT:449900|KT:449900|LG:449900
SM-A125N,SKT:275000|KT:275000|LG:275000
SM-G996,SKT:1199000|KT:1199000|LG:1199000
SM-G998N,SKT:1452000|KT:1452000|LG:1452000
SM-G991,SKT:999900|KT:999900|LG:999900
SM-G998N,SKT:1599400|KT:1599400|LG:1599400
SM-G781N,SKT:899800|KT:899800|LG:899800
SM-T505N,SKT:352000|KT:352000|LG:352000
SM-N981N,SKT:1199000|KT:1199000|LG:1199000
SM-N986N,SKT:1452000|KT:1452000|LG:1452000
SM-F916N,SKT:2398000|KT:2398000|LG:2398000
SM-R855N,SKT:495000|KT:495000|LG:495000
SM-R845N,SKT:528000|KT:528000|LG:528000
SM-F707N,SKT:1650000|KT:1349700|LG:1349700
SM-A217N,SKT:319000
SM-A217N,SKT:297000|KT:297000|LG:297000
SM-G986N,SKT:1144000|KT:1045000|LG:1248500
SM-A716S,SKT:548900
SM-A315N,SKT:374000|KT:374000|LG:374000
SM-A516N,SKT:572000|KT:473000|LG:473000
SM-G981N,SKT:1144000|KT:1144000|LG:1144000
SM-G986N,SKT:1248500|KT:1248500|LG:1248500
SM-G988N,SKT:1248500|KT:1199000|LG:1298000
SM-F700N,SKT:1188000|KT:1188000|LG:1188000
SM-A102N,SKT:199100|LG:199100
SM-F907N,SKT:1500400|KT:1705000|LG:1705000
SM-R835,SKT:459800|KT:459800|LG:459800
SM-R825,SKT:459800|KT:459800|LG:459800
SM-A908N,SKT:550000|KT:550000|LG:550000
SM-T865,SKT:898700|LG:898700
SM-N971N,SKT:1248500|KT:995500|LG:1248500
SM-N976N,SKT:1397000|KT:1144000|LG:1397000
SM-N976N,SKT:1496000|KT:1243000|LG:1496000
SM-A405N,SKT:399300
SM-A505N,SKT:429000|KT:429000|LG:429000
SM-T515,SKT:319000|LG:319000
SM-A205S_VIVA,SKT:299200
SM-A205S,SKT:209000
SM-A305N,SKT:349800|KT:349800|LG:349800
SM-A805N,SKT:599500
SM-G977N,SKT:799700|KT:799700|LG:799700
SM-G977N,SKT:832700|KT:832700|LG:832700
SM-G973N,SKT:899800|KT:899800|LG:899800
SM-G970N,SKT:899800|KT:899800|LG:899800
SM-G975N,SKT:1155000|KT:998800|LG:1155000
SM-G973N,SKT:998800|KT:998800|LG:998800
SM-G975N,SKT:1196800|KT:1045000|LG:1397000
SM-G887N,SKT:449900|KT:449900|LG:449900
SM-A920N,SKT:599500|KT:599500|LG:599500
SM-A920N,SKT:599500|KT:599500|LG:599500
SM-J415N,SKT:264000
SM-A750N,SKT:499400|KT:499400|LG:499400
SM-R815N,SKT:379500|LG:379500
SM-R805N,SKT:399300|LG:399300
SM-R815N,SKT:379500|LG:379500
SM-N960N,SKT:799700|KT:799700|LG:799700
SM-N960N,SKT:1155000|KT:1155000|LG:1155000
SM-T835,SKT:880000|LG:880000
SM-G885S,SKT:499400
SM-A600S,SKT:346500|KT:346500|LG:346500
SM-J737S,SKT:297000
SM-J250N,SKT:199100|KT:199100|LG:199100
SM-J250NSO,SKT:199100|KT:199100|LG:199100
SM-G965N,SKT:968000|KT:968000|LG:968000
SM-G965N,SKT:1078000|KT:1078000|LG:1078000
SM-J727EP,SKT:333300
SM-G960N,SKT:858000|KT:858000|LG:858000
SM-G611S,SKT:344300|KT:344300|LG:344300
SM-A530S,SKT:499400|KT:599500|LG:499400
SM-N950N,SKT:1331000
SM-N950S,SKT:942700|KT:942700|LG:942700
SM-N950S,SKT:847000|KT:847000|LG:847000
SM-N935S,SKT:699600|KT:699600|LG:699600
SM-J530S,SKT:297000|KT:297000|LG:297000
SM-G160N,SKT:253000|KT:253000|LG:253000
SM-G160N,SKT:253000|KT:231000|LG:231000
SM-G935S,SKT:755700|KT:855800|LG:755700
SM-G935S,SKT:799700|KT:799700|LG:799700
SM-N920S,SKT:699600|KT:821700|LG:821700
SM-N920S,SKT:865700|KT:865700
SM-J727S,SKT:297000
SM-W627,SKT:899000|LG:899800
SM-T378S,SKT:275000|KT:297000|LG:297000
SM-T825,SKT:638000|KT:859000|LG:638000
SM-G950N,SKT:599500|KT:599500|LG:599500
SM-G955N,SKT:899800|KT:899800|LG:899800
SM-G955N,SKT:998800|KT:899800|LG:899800
SM-R775S,SKT:451000|LG:399300
SM-A520S,SKT:297000|KT:297000|LG:297000
SM-A720S,SKT:499400
SM-G610S,SKT:344300
SM-T815,SKT:343000
SM-R765S,SKT:451000|KT:459800|LG:399300
SM-A810S,SKT:399300
IF-W520S,SKT:264000
SM-G600S,SKT:297000
SM-J320N0,SKT:231000|KT:231000|LG:231000
SM-J510S,SKT:297000|KT:297000|LG:297000
SM-G925S,SKT:799700|KT:799700|LG:799700
SM-G930S,SKT:699600|KT:495000|LG:699600
SM-G930S,SKT:721600|KT:721600|LG:721600
SM-G935S,SKT:777700|KT:755700|LG:777700
SM-A310N0,SKT:352000|KT:352000|LG:352000
SM-T375S,SKT:275000
SM-A510S,SKT:429000|KT:429000|LG:429000
SM-A710S,SKT:528000|KT:528000|LG:528000
SM-R735S,SKT:431200
SM-R730S,SKT:399300
SM-G928S,SKT:599500|KT:599500|LG:599500
SM-N920S,SKT:799700|KT:499400|LG:799700
SM-G150NS,SKT:297000|KT:297000|LG:297000
SM-A800S,SKT:399300
SM-J500N0,SKT:264000|KT:264000
SM-P555S,SKT:484000
SM-G920S,SKT:679800|KT:679800|LG:679800
SM-G920S,SKT:699600|KT:699600|LG:699600
SM-G925S,SKT:735900|KT:735900|LG:735900
SM-G925S,SKT:755700|KT:755700|LG:755700
SM-G720N0,SKT:319000|KT:316800|LG:319000
SM-A500S,SKT:399300|KT:58080|LG:399300
