model_code,price
A2221,SKT:859100|KT:990000|LG:990000
A2215,SKT:1174800|KT:1375000|LG:1375000
A2218,SKT:1328800|KT:1529000|LG:1529000
A2097,SKT:940500|KT:1562000|LG:1562000
A2101,SKT:990000|KT:990000|LG:1705000
A2105,SKT:841500|KT:841500|LG:990000
A1901,SKT:1155000|KT:847000|LG:1155000
A1905,SKT:781000|KT:847000|LG:1142900
A1897,SKT:1283700|KT:902000|LG:1283700
A1778,SKT:499400|KT:440000|LG:599500
A1784,SKT:821700|KT:699600|LG:858000
A1723,SKT:330000|KT:569800|LG:536800
A1688,SKT:999900|KT:699600|LG:612700
A1687,SKT:610500|KT:799700|LG:678700
A1586,SKT:965800|KT:965800|LG:534600
A1524,SKT:399300|KT:809600|LG:477400
A1530,SKT:946000|KT:550000
A1532,SKT:396000|KT:396000
A1428,SKT:484000|KT:484000
A1387,SKT:484000|KT:484000
A1332,SKT:814000|KT:484000
SM-A908,SKT:550000|KT:550000|LG:550000
SM-A505,SKT:429000|KT:429000|LG:429000
SM-A405,SKT:399300
SM-A305,SKT:349800|KT:349800|LG:349800
SM-A205,SKT:209000
SM-G887,SKT:449900|KT:449900|LG:449900
SM-G885,SKT:499400
SM-A920,SKT:599500|KT:599500|LG:599500
SM-A530,SKT:499400|KT:599500|LG:499400
SM-A600,SKT:346500|KT:346500|LG:346500
SM-A750,SKT:499400|KT:499400|LG:499400
SM-A520,SKT:297000|KT:297000|LG:297000
SM-A810,SKT:399300
SM-A310,SKT:352000|KT:352000|LG:352000
SM-A510,SKT:429000|KT:429000|LG:429000
SM-A710,SKT:528000|KT:528000|LG:528000
SM-A800,SKT:399300
SM-A500,SKT:399300|KT:58080|LG:399300
SM-A300,SKT:352000|KT:352000|LG:352000
SM-A700,SKT:499400|KT:58080|LG:499400
SHW-M100,SKT:748000
SM-J250,SKT:199100|KT:199100|LG:199100
SM-J330,LG:244200
SM-J530,SKT:297000|KT:297000|LG:297000
SM-J730,KT:396000
SM-J320,SKT:231000|KT:231000|LG:231000
SM-J710,KT:363000
SM-J510,SKT:297000|KT:297000|LG:297000
SM-J700,KT:58080
SM-J600,LG:330000
SM-J500,SKT:264000
SM-J415,SKT:264000
SM-G977,SKT:799700|KT:799700|LG:799700
SM-G970,SKT:899800|KT:899800|LG:899800
SM-G973,SKT:998800|KT:998800|LG:998800
SM-G975,SKT:1196800|KT:1045000|LG:1397000
SM-G960,SKT:858000|KT:858000|LG:858000
SM-G965,SKT:968000|KT:968000|LG:968000
SM-G950,SKT:599500|KT:599500|LG:599500
SM-G955,SKT:899800|KT:899800|LG:899800
SM-G930,SKT:699600|KT:495000|LG:699600
SM-G935,SKT:755700 |KT:755700 |LG:755700
SM-G928,SKT:599500|KT:599500|LG:599500
SM-G925,SKT:735900|KT:735900|LG:735900
SM-G920,SKT:679800|KT:679800|LG:679800
SM-G900,SKT:666600|KT:264000|LG:666600
SM-G906,SKT:699600|KT:264000|LG:699600
SHV-E300,SKT:550000|KT:550000|LG:550000
SHV-E330,SKT:499400|KT:499400|LG:499400
SHV-E470,SKT:528000
SM-C105,SKT:649000|KT:649000|LG:649000
SHV-E370,KT:256900
SHV-E210,SKT:649000|KT:649000|LG:649000
SHV-M440,SKT:649000|KT:649000|LG:649000
SHW-M250,SKT:499400|KT:499400|LG:499400
SHV-E120,\N
SHV-E110,\N
SHW-M110,\N
SHW-M190,\N
SM-G720,SKT:319000|KT:316800|LG:319000
SM-G710,SKT:200000|KT:374000|LG:374000
SHV-E270,SKT:269500|KT:269500
SM-N971,SKT:1248500|KT:995500|LG:1248500
SM-N976,SKT:1397000|KT:1144000|LG:1397000
SM-N960,SKT:799700|KT:799700|LG:799700
SM-N950,SKT:1331000
SM-N935,SKT:699600|KT:699600|LG:699600
SM-N930,SKT:988900|KT:988900|LG:988900
SM-N920,SKT:699600|KT:821700|LG:821700
SM-N910,SKT:799700|KT:316800|LG:799700
SM-N916,SKT:799700
SM-N915,SKT:699600|KT:699600|LG:699600
SM-N900,SKT:880000|KT:880000|LG:880000
SM-N750,SKT:599500|KT:599500|LG:599500
SHV-E250,SKT:847000|KT:847000|LG:847000
SHV-E160,\N
SM-G160,SKT:253000|KT:253000|LG:253000
SM-G610,SKT:344300
SM-G600,SKT:297000
SM-J737,SKT:297000
SM-G850,SKT:528000|KT:58080|LG:495000
SHW-M585,KT:176000
SHW-M580,\N
SHW-M570,SKT:269500
SM-T255,SKT:319000
SM-C115,SKT:297000
SHV-E500,SKT:297000|LG:297000
SM-G910,SKT:759000
SHV-E400,SKT:799700|KT:799700
SHV-E310,SKT:799700|KT:799700|LG:799700
SHV-E220,SKT:319000
SHV-E170,\N
SHW-M340,\N
SHW-M240,\N
SHW-M130,\N
SM-A202,\N
SM-J415-KA,\N
SM-G611,SKT:344300|KT:344300|LG:344300
SM-B510,SKT:242000
SM-B510,SKT:242000
SM-B510,SKT:242000
LG-F370,SKT:259600|KT:198000|LG:259600
LM-G820,SKT:897600|KT:897600|LG:897600
LM-G710,SKT:898700|KT:898700|LG:898700
LM-G710P,SKT:898700|KT:898700|LG:898700
LGM-G600,SKT:819500|KT:819500|LG:819500
LGM-G600P,SKT:957000|KT:957000|LG:957000
LG-F700,SKT:699600|KT:699600|LG:699600
LG-F500,SKT:599500|KT:154000|LG:599500
LG-F400,SKT:499400|KT:58080|LG:499400
LG-F410,SKT:451000
LG-F470,SKT:352000|KT:99000|LG:352000
LG-F490,LG:154000
LG-F460,SKT:550000|KT:550000|LG:550000
LG-F320,SKT:616000|KT:616000|LG:616000
LG-F350,\N
LG-F430,\N
LG-F310,\N
LG-F510,SKT:899800|KT:99000|LG:899800
LG-F340,SKT:799700|KT:233200|LG:799700
LG-Q720CS,\N
LG-Q720AM,\N
LG-MP450,\N
LG-F720,\N
LG-F560,\N
LG-D690,\N
LG-F670,SKT:275000|KT:275000|LG:275000
LG-F820,\N
LG-F620,\N
LG-F540,SKT:257400|LG:297000
LG-F520,\N
LM-Q925,SKT:499400|KT:499400|LG:499400
LM-Q927,LG:399300
LM-Q815,SKT:539000|KT:539000|LG:539000
LGM-X800,LG:616000
LMQ710,\N
LMQ710HS,\N
LM-Q720,SKT:419100|KT:419100|LG:419100
LM-Q725,SKT:517000|KT:517000|LG:517000
LG-X600,SKT:419100|KT:419100|LG:419100
LGM-X600,SKT:484000|KT:484000|LG:484000
LM-V500,SKT:999900|KT:899800|LG:750200
LM-V510,SKT:999900|KT:999900|LG:999900
LM-V409,SKT:1049400|KT:1049400|LG:1049400
LM-V350,SKT:1048300|KT:1048300|LG:1048300
LGM-V300S,SKT:849200
LGM-V300,SKT:948200|KT:948200|LG:948200
LG-F800,SKT:899800|KT:899800|LG:899800
LG-F600,SKT:599500|KT:599500|LG:599500
LM-X510,SKT:363000|KT:363000|LG:363000
LM-X410,SKT:297000|KT:297000|LG:297000
LM-X415,SKT:349800|KT:349800|LG:349800
LM-X625,SKT:349800|KT:349800|LG:349800
LM-X420,LG:297000
LM-X220,SKT:209000|KT:198000
LM-X210,SKT:198000
LGM-X320,SKT:319000|KT:319000|LG:319000
LGM-X401,SKT:289300|LG:289300
LGM-K121,SKT:319000|KT:319000|LG:319000
LGM-K120,SKT:253000|KT:253000|LG:253000
LG-F750,LG:253000
LG-F770,LG:363000
LG-F740,LG:176000
LG-F690,SKT:396000|LG:396000
LG-F650,SKT:316800|KT:316800|LG:319000
LG-H791,SKT:242000|KT:33000|LG:242000
LG-F260,\N
LG-F610,LG:242000
LG-F480,SKT:297000|KT:55000|LG:99000
LG-T480,\N
LM-Y110,SKT:220000|KT:220000|LG:220000
LGM-X100,SKT:297000|LG:297000
SM-F907,SKT:1500400|KT:1705000|LG:1705000
A2775,"SKT:539000|KT:539000|LG: 539,000"
SM-A805,SKT:599500
SM-F700,SKT:1188000|KT:1188000|LG:1188000
SM-G981,SKT:1188000|KT:1144000|LG:1144000
SM-G986,SKT:1144000|KT:1045000|LG:1248500
SM-G988,SKT:1248500|KT:1199000|LG:1298000
LM-G900,SKT:899800|KT:899800|LG:899800
LM-Q510,SKT:319000|KT:319000|LG:319000
LM-Y120,SKT:198000|LG:198000
LM-Q630,SKT:369600|KT:369600|LG:369600
SM-A315,SKT:374000|KT:374000|LG:374000
SM-A516,SKT:572000|KT:473000|LG:473000
SM-A716,SKT:548900
SM-G781,SKT:899800|KT:899800|LG:899800
SM-N981,SKT:1199000|KT:1199000|LG:1199000
SM-N986,SKT:1452000|KT:1452000|LG:1452000
LM-Q310,SKT:209000|KT:209000|LG:209000
LM-Q520,SKT:330000|KT:330000|LG:330000
LM-F100,SKT:1098900|KT:1098900|LG:1098900
SM-A102,SKT:199100|LG:199100
LG-D821,SKT:459800
LG-F100,\N
LG-F180,SKT:499400|KT:499400|LG:255200
LG-F200,SKT:499400|KT:499400|LG:255200
LG-F220,\N
LG-F240,SKT:399300|KT:399300|LG:399300
LG-F300,SKT:643500|KT:154000|LG:297000
LG-F570,SKT:297000
LG-KU5400,\N
LG-LU6500,\N
LM-Q730,SKT:548900|KT:548900|LG:548900
LM-Q920,SKT:499400|KT:499400|LG:499400
SU950,\N
SHV-E275,\N
SHW-M290,\N
SM-A105,209000
SM-A217,SKT:319000
SM-A720,SKT:499400
SM-G150,SKT:297000|KT:297000|LG:297000
SM-G165,SKT:253000|KT:231000|LG:231000 
SM-J727,SKT:333300
SM-M205,\N
LG-D329,\N
LG-D700,\N
LG-F120,\N
LG-F160,\N
LG-F440,\N
LG-F580,\N
LG-F620,SKT:319000|KT:399300|LG:319000
LG-KH5200,\N
LG-KU5900,\N
LG-LU3000,\N
LG-SU640,\N
LG-LU6800,\N
LG-T280,\N
LG-KU3700,\N
LG-SU660,\N
LG-SU760,\N
LG-SU870,\N
LG-SU880,\N
LM-Q720,SKT:419100|KT:419100|LG:419100
Nexus S,\N
SHW-M220,\N
SM-F916,SKT:2398000|KT:2398000|LG:2398000
