,pl_id,pl_model_code,pl_name,star,market,write_id,upload_day,title,text,Target,URL
0,,,,,,,,,,,
0,,,,,,,,,,,
0,1.0,A2221,iphone11,판매자 평점 별5개 중 3개,11번가,som******,2019-12-23,,"
금요일 오늘 출발로 오후 1시에 주문하며 당일 오후 6시 반경에 수령하였습니다. 추후 스스로 개통하길 희망하며 제품만 전달받았습니다. 
 우선 전면 기본 필름 내에 먼지가 끼어있고 전면 필름지가 미끄럽고 손대는 족족 유독 지문이 많이 묻어 찜찜하였고 특히 어떤 분의 문의와 동일하게 후면 카메라 테두리 부분에서 스크래치를 발견했습니다. (처음 사진) 
 그다지 크진 않았지만 거금을 주고 산 제품이 이런 코스메틱 이슈를 갖고 있다는 것이 다소 불쾌하여 서비스센터 내방을 하여 제품을 교환 받았습니다. 교환받은 제품마저 동일하게 후면 카메라 테두리에 미세한 스크래치가 또 발견되었지만(두 번째 사진), 계속 교환 요청을 한다한들 제대로 된 양품을 얻을 수 있을지 확신할 수 없어 (교환은 마지막에 개봉한 제품으로만 교환 가능하다고 하네요) 첫번째 교환으로 구매를 확정하였습니다. 
 정가보다 저렴하게 구매해서인지 제가 뽑기운이 없어서인지 둘 다 스크래치 상품이다보니 교환받은 이후도 만족스럽진 않네요. 
 그리고 제품 구매 시에 있는 요금할인의 경우 요금할인이 적용되는 요금제가 한정되어있는데, 이 페이지에서 내놓은 요금들은 다수가 요금할인제도가 적용되지 않습니다. 선택약정할인제도랑 요금할인제도랑 헷갈린 것인지 궁금하네요. 
 게다가 저는 요금할인제도에 해당하지 않는 요금제를 선택하였고, 선택약정할인제도 이용 중이라 공시지원을 받지 못해 요금할인제도 12개월만 선택하였는데 왜 개통해준 곳에서는 요금할인제도 24개월 약정을 걸어두었는지 모르겠습니다. 해당이 없어서 해지해도 문제가 없다지만 저의 동의도 없이 왜 12개월 계약 조건을 24개월로 설정해놓은 건지 궁금하네요.
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,,11번가,kyu*****,2020-01-15,,"
요약: 토요일 주문시 당일배송 불가 배송지변경하면 헬 
 
토요일에 주문 혹시 당일배송될까 서울 모 지역 집으로 배송요청함. 근데 오후가되도 연락이 안와서 해피콜 두군데(티다이렉트샵, 오늘배송업체) 1. 전화 
두군에서 서로 권한을 넘김 티다이렉트샵왈: 오늘배송쪽에 전화하세요. 2.오늘배송: 티다이렉트샵에 전화하세요. 
일단너그러운 마음으로 주말이라 안되는구나 하고 이해하기로함 
월요일: 아침 9시3.티다이렉트에 전화 직장쪽으로 바꾸길 원한다고함(인천) 배송변경되면 다음날받을수있다고 함 아님 취소하고 다시주문하면 당일받을수도 있다고함 헌데 동일할인조건이 안될수도있다함. 
또 배송지를 잘못한 나를 탓하며 너그러운 마음으로 이해함 
4. 월요일 한시경 티다이렉트 ; 오늘 서울 모로 배송받기로 하셨죠??? 하며 전화옴ㅋㅋㅋㅋㅋ 아니라고 하며 내용설명 상담원한테 해줌 
날 또 살짝 귀찮게 했지만 너그럽게 이해하기로함 
상담원왈: 내일 배송전에ㅡ전화할꺼다 
 
대망의 화요일 점심먹고도 연락이1도없음 
11번가 배송현황이 배송완료라고 나옴(당황 서울로 배송된거아냐?) 
5.2시전화: 티다이렉트 오늘배송오나요?? 몇시에오나요? 문의 
6.4시50분: 상담원: 오늘 오는데 저녁8시정도에 배송된다고 한다 
 나:????? 그때올거였음 서울 집으로 했지 뭐죠? 개통도 해야하는데요? 
 상담원:상담개통은 8:30분까지라 된다. 
 나: 그럼 배송오는 시간 정확히알려달라 8시다!도 아니고 그쯤이라면 너무하지 않냐 정확한 배송시간, 서울 수령여부 가능여부 
7.5시39분: 상담원:배송시간 알수없고 서울로 배송변경하면 하루더 연장 
 나: 너무늦으니까 내일 받는다 내일 언제 받을수 있는지 대략적 시간까지 알아봐달라 
8.5시54분: 티월드기사: 고객님 배송 6:30분가능합니다 
 나:?????상담원이 8시라고 했는데요? 네 일단오세요 
9.6:03분: 상담원: 고객님 오늘 배송은 8시이고....... 
 나: (이젠 많이참았다) 기사님이 오늘온다는데요?? 그리고 주절주절 
 상담원: 몰랐다..... (팩트) 그리고 기타등등 죄송하다 어쪄구들음 (뉘앙스는 어째든 오늘 배송되었으니 끝) 
10. 6시 15분경 티월드기사: 방문 핸드폰수령 
핸드폰보험 기타등등 물어보니이젠 114에 전화하라고 안내받음 
너그러운 나의마음들이 사라짐 
 
한줄요약: 핸드폰을 받았는데 기쁘지않음.이젠 114전화
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,판매자 평점 별5개 중 5개,11번가,mod******,2019-12-02,,"
오후1-2시 사이에 구입했고 오늘 저녁7시쯤 바로 받아서 
8시 개통완료 했습니다 5년만에 새로운 아이폰으로 바꿔서 
그런지 신세계네요 블루투스로 기존폰의 데이타가 모두 
옮겨져서 새폰인데도 익숙한 느낌? 
단 얼굴인식 풀리는건 적응 안되요 ㅠㅠ 
배송 빨랐구요 개통도 빠르고 젤리케이스 액정필름 
다 있어서 좋았어요 12퍼 카드할인받고 22개월 무이자할부 
하고 24개월 약정할인에 온가족할인 중복 할인까지 
할인 알뜰하게 받아서 기분 좋습니다~ 
짙은그린 매력있어요 제가 기존에 아이폰플러스 사용자라서 
프로 액정이 작을까 했는데 괜한 걱정이였어요 충분히 큼니다 
프로맥스보단 제손엔 프로가 딱이네용 
잘쓰겠습니다 많이 파세요 ^^
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,,11번가,jiy******,2020-01-12,,"
기변으로 당일 도착으로 주문했습니다 
주문후 개통에 대한 불안함때문에 1:1 톡상담을 했는데요 상담사가 기기변경후 유심만 꽂으면 바로 될거라는 답변을 해주었습니다 
당일 퇴근후 7시10분쯤 받고 기존유심빼서 꽂고 마이그레이션으로 데이터 옮기고 이래저래 순조로웠죠 
드디어 완료. 하지만..개통만 빼곤 다 되네요 ㅋㅋㅋ 
급하게 콜센터에 전화를 합니다(8시 10분) 
콜센터 상담사: 택배도착은 유심만 꽂으면 바로 개통이 되지만, 당일도착의 경우는 고객이 직접전화해서 개통하셔야한다. 이전 톡상담사가 잘못안내한것같다 
개통가능시간은 오전9시-오후8시다!8시다!!!8시다!!! 
 
결국 당일 개통못했네요 당일도착은 꼭전화로 개통하라고 알려주셨으면 8시전에 충분히 당일개통 가능했는데 정말 화가 났습니다 
 
두번째 
담날 개통후 보험가입하려구 t월드 어플 들어가서 제 가입상황 확인을해보았죠 
헉 이게왠일!! 
선택약정12개월은 제가 신청한건데 요금약정24개월이 걸려있는거죠 전화해서 당일에 바로 해지하긴했습니다만 찝찝하고 기분나쁩니다 제가 신청한게 아니니깐요!! 
 
다들 잘 확인후 가입하세요
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,판매자 평점 별5개 중 5개,11번가,lov******,2019-12-19,,"
벼르고 벼르다가 드디어 구매! 
실버 사고싶었는데 몇날 며칠을 기다려도 
실버는 들어올 생각없고ㅠㅠ 그래서 결국 골드로 구매했어요 
아이폰6 5년 가까이 쓰다가 넘어왔는데 
홈버튼 없어도 불편함 1도 모르겠고 완전 좋아요 
빠르고 크기도 시원시원하게 크고 
가격이 깡패인것만 빼면 다 좋아요 
그래도 오프라인에서 살때보다는 카드할인이라는게 있어서 좋아요 
 
유심재사용이라 유심만 끼우면 개통된다했는데 
안되서 문의남기고 그게 좀 불편...!! 
여튼 아이폰은 진리라 빨리 살걸 
고민한 시간들이 아깝네요
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,,11번가,god***,2020-03-26,,"
뽑기운 최악이예요ㅠㅠㅠ 
개통도 전에 카메라렌즈얼룩 발견하고 
서비스센터 두군데 방문했는데 기능상결함아니라고 닦아서 쓰라며 교환불가라네요 11번가 휴대폰샵측에선 하자확인서 없이는 교환안된다고하도 150만원짜리가 뭐 이따위인지 모르겠어요 
이 얼룩이 극세사나 융으로 닦으면 일시적으로 지워지는데 손으로닦거나 입김을 불면 같은 얼룩이 나타납니다 유막불량인데도 애플에서 인정해주지않아서 안된다니 이게무슨 멍멍이같은 경우인지 모르겠어요
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,판매자 평점 별5개 중 5개,11번가,dus****,2020-01-11,,"
데이터 옮기는것도 간단하고 
주문하고 하루만에 바로 받아서 만족스러웠습니다 
기존 요금제유지하려고 고객센터에 문의 
자주했는데 친절하고 빠르게 처리해주셔서 
어려움없이 쉽게 해결했습니다 
아 그리고 상품 가족이 대리수령하려면 
가족관계증명서나 등본같이 가족인걸 증명할수 
있는 서류 미리 준비해두세요 
저는 다행히 집에 서류가 있어서 괜찮았는데 
모르고있다가 연락받아서 당황했습니다
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
0,1.0,A2221,iphone11,판매자 평점 별5개 중 5개,11번가,mys********,2019-12-17,,"
대구인데도 12신가 주문하고 4시잉가 받앗어요ㅋㅋㅋ 
겁나 빠름... 
문제는 ㅠㅠㅠㅠㅠㅠㅠㅠ 
sk페이 22개월한지 알앗는데 
일시불되버려서... 개통한상태에서는 
어떻게할수가없다네요ㅠㅠㅠ 취소하고 새로하는것도 안대구ㅠㅠㅠㅠㅠㅠ 
결국 카드사로해서 12개월하니 이자만 겁나 내게 생김 ㅠㅠ 
카드 할부하시는분 정말잘보세요ㅠㅠㅠ 
sk가입신청적고 머이래저래 한다고 할부한지 알고 걍 넘겻나바요ㅠㅠ 머 내잘못......... 
슬프도다ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 
싸게 사려고 이래저래 본건데 결국 기계 본 가격 보다 더 비싸게 산것임 ㅠㅠㅠㅠ흑흑흑 
폰 성능이야 말할것도 없고 사진 개대박. 
액정필름이랑 투명 케이스는 같이주네요 
다행이도ㅎㅎㅎㅎ 
할부하시는분 결제할때 정말 잘보세요 
그게 젤 중요한듯 ㅠ.ㅠ
",애플 아이폰 11 프로 256GB SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=19761067&trTypeCd=PW08&trCtgrNo=585021
