,pl_id,pl_model_code,pl_name,star,market,write_id,upload_day,title,text,Target,URL
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,193,LM-Y110,LG폴더,판매자 평점 별5개 중 4개,11번가,691*****,2020-06-24,,"
상품이 노인들 사용하기 편해요
",LG전자 폴더 2 8GB SKT 완납폰(단말할인),https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=23715461&trTypeCd=PW08&trCtgrNo=585021
0,,,,,,,,,,,
0,194,LGM-X100,스마트폴더,판매자 평점 별5개 중 4개,11번가,691*****,2020-06-24,,"
상품이 노인들 사용하기 편해요
",LG전자 폴더 2 8GB SKT 완납폰(단말할인),https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=23715461&trTypeCd=PW08&trCtgrNo=585021
0,,,,,,,,,,,
0,,,,,,,,,,,
0,196,A2775,아이폰SE(2020),판매자 평점 별5개 중 4개,11번가,com*****,2021-02-15,,"
아이폰 SE 2020. 홈버튼이 있고 최신칩이라 역시 성능이 빠릿빠릿하고 좋았습니다. 다만 환경을 생각한다며 충전기와 이어폰이 빠진게 좀 아쉬웠네요
",애플 아이폰 SE 2세대 64GB 친환경 패키지 SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=42935210&trTypeCd=PW08&trCtgrNo=585021
0,196,A2775,아이폰SE(2020),판매자 평점 별5개 중 5개,11번가,min******,2021-02-23,,"
제품 상태 좋게 보내줘서 감사합니다~^^ 
잘 받아서 사용하고 있어요
",애플 아이폰 SE 2세대 64GB 친환경 패키지 SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=42935210&trTypeCd=PW08&trCtgrNo=585021
0,196,A2775,아이폰SE(2020),판매자 평점 별5개 중 5개,11번가,han*****,2021-04-06,,"
가격 상품 모든게 맘에 들어요~ 
좋은상품 감사합니다
",애플 아이폰 SE 2세대 64GB 친환경 패키지 SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=42935210&trTypeCd=PW08&trCtgrNo=585021
0,196,A2775,아이폰SE(2020),판매자 평점 별5개 중 5개,11번가,nfs*****,2021-02-18,,"
연휴기간 끝나자마자 발송되고 빠르네요~
",애플 아이폰 SE 2세대 64GB 친환경 패키지 SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=42935210&trTypeCd=PW08&trCtgrNo=585021
0,196,A2775,아이폰SE(2020),판매자 평점 별5개 중 5개,11번가,coo***************,2021-03-12,,"
역시 아이폰입니다!
",애플 아이폰 SE 2세대 64GB 친환경 패키지 SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=42935210&trTypeCd=PW08&trCtgrNo=585021
0,196,A2775,아이폰SE(2020),판매자 평점 별5개 중 5개,11번가,csk*,2021-01-17,,"

",애플 아이폰 SE 2세대 64GB 친환경 패키지 SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=42935210&trTypeCd=PW08&trCtgrNo=585021
0,196,A2775,아이폰SE(2020),판매자 평점 별5개 중 5개,11번가,bho***,2021-01-30,,"

",애플 아이폰 SE 2세대 64GB 친환경 패키지 SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=42935210&trTypeCd=PW08&trCtgrNo=585021
0,196,A2775,아이폰SE(2020),판매자 평점 별5개 중 5개,11번가,sji***,2021-02-18,,"
연휴 끝나고 빠르게 배송됨. 액정 과 케이스 서비스 있음
",애플 아이폰 SE 2세대 128GB 친환경 패키지 SKT가입,https://www.11st.co.kr/catalog/catalogDetail.tmall?method=catalogDetail&ctlgNo=42935213&trTypeCd=PW08&trCtgrNo=585021
