,pl_id,pl_model_code,pl_name,star,market,write_id,upload_day,title,text
1,1,A2221,아이폰11,5,하이마트쇼핑몰,z*o*****,21.02.13.,토요일 배송 될거라 생각했는데 ,토요일 배송 될거라 생각했는데 월요일 배송되었네요.아이 졸업 선물로 카메라 좋은 거 해줄려고 아이폰으로 선택했습니다. 가격은 학생한테 비싸지만 4년 쓰면 된다는마음으로 구매했어요. 역시 아이폰이라 사진 찍을 때가 제일 좋네요.
2,1,A2221,아이폰11,4,스마트베이비,ciao****,21.01.10.,"실버없어서 골드로 주문했는데, 기존 가지고있는거랑 비슷하지만 맘에 들어요~ 통신사 대리점에서는 64기가만 있어서 온라인 구매한거라 만족합니다. 다만 택배배송과정에서 물량이 많아서인","실버없어서 골드로 주문했는데, 기존 가지고있는거랑 비슷하지만 맘에 들어요~ 통신사 대리점에서는 64기가만 있어서 온라인 구매한거라 만족합니다. 다만 택배배송과정에서 물량이 많아서인지 생각보다 늦게와서 기다리느라 힘들었음요. 기사님들 추운데 고생하셨구, 잘 쓸게요^^"
3,1,A2221,아이폰11,4,11번가,lo******,20.08.09.,좋아요,"배송빠르고 좋았어요.단, 아이폰이 스크래치있는 초기불량제품이어서 뽑기를 잘못한듯.매우귀찮게 AS센터를 이틀에걸쳐 세번이나 방문함.초기불량 스크래치로 방문익일 제품받으러 재방문OS업데이트 중 벽돌되서 또 방문우여곡절끝에 제품을 받았는데 여튼뭐 애플공홈보다저렴한가격에 잘샀다고 생각함(아쉬운건 골드색깔이 별로...)"
4,1,A2221,아이폰11,5,G마켓,k*0*****,20.11.21.,완전 적극적으로 추천합니다,골드로 주문하였는데 품절이라 미드나잇으로 보내주셨습니다~ 추가금 없이 업그레이드 받은 느낌이랄까~ ㅎㅎ~ 친절하게 설명도 해주시고 배송도 출고 다음날 도착했고~ 제품도 20년 4월 제품에 모든게 완벽했습니다~ 하나 맘에 안들었다면 뽁뽁이도 없이 달랑 박스에 폰만 있던게 아쉬었네요~
5,1,A2221,아이폰11,5,애플 공식 브랜드스토어,1004****,20.10.04.,"구매 후 2틀만에 도착했습니다. 출고가와 많이 차이나진 않지만, 일반 휴대폰 매장에서 사고 싶지 않아 인터넷으로 구매했습니다. 실버와 고민했지만, 골드도 예쁘네요. 배송도 빠르고 ","구매 후 2틀만에 도착했습니다. 출고가와 많이 차이나진 않지만, 일반 휴대폰 매장에서 사고 싶지 않아 인터넷으로 구매했습니다. 실버와 고민했지만, 골드도 예쁘네요. 배송도 빠르고 만족합니다. 같이 보내주신 보호필름과 케이스도 잘 쓰겠습니다."
6,1,A2221,아이폰11,5,프렌드가젯,flow****,20.11.29.,여러군데 알아보고 어렵게 샀는데요 궁금한 점도 빠른 답변으로 응대해주시고 상품도 정말 꼼꼼하게 잘 보내주셨고 빠른 배송으로 정말 다 좋았습니다~리뷰 한번도 쓴적 없는데 여기는 너무,여러군데 알아보고 어렵게 샀는데요 궁금한 점도 빠른 답변으로 응대해주시고 상품도 정말 꼼꼼하게 잘 보내주셨고 빠른 배송으로 정말 다 좋았습니다~리뷰 한번도 쓴적 없는데 여기는 너무너무 좋아서 도움이 되길 바라며 한번 써봅니다..다음에도 또 구매하겠습니다^^
7,1,A2221,아이폰11,3,하이마트쇼핑몰,k*n*****,20.07.08.,"아.. 진짜 딥빡이네요
스마트픽 하","아.. 진짜 딥빡이네요스마트픽 하지마세요.개인간 택배거래해도 물건 뽁뽁이에 싸주는게 예의인데,대기업에서 박스 종이로 싸서 배송 말인지..ㅋ제일 화나는건 폰 뒷면 기스가있고...진심 짜증나요.물건 원해서 산거 맞지만, 다른 업체에서 안사고 롯데라는 대기업이니까 더 서비스 좋을 줄 알고 샀는데 배송 상태도 꽝 진심 짜증납니다.엄마 아이디로 산거라 후기 안쓰려 했는데 화나서 쓰게 만드네요."
8,1,A2221,아이폰11,4,위메프,pik*****,20.07.28.,아이폰 12살까하다가,아이폰 12살까하다가11pro 구매했습니다 ㅎㅎ 이쁩니다알뜰폰으로 같이 사용하려고 했는데유심이 누락되어 왔네요 ㅠ.ㅠ판매자 문의드렸더니 바로 재발송 해주셨습니다 :)https://wpay.wemakeprice.com/fs/share/1if135g7pgh80위 링크타고 동일 제품 위메프페이로 구매하시면5% 포인트 적립으로더 저렴하게 구매해보세요 :)♡
9,1,A2221,아이폰11,5,하이마트쇼핑몰,k*m*****,21.03.15.,이제 아이폰은 하이마트에서 사야,이제 아이폰은 하이마트에서 사야겠어요.통신사끼고 사는것보다 훨씬 하네요.아이폰8에서 옮겼습니다.
10,1,A2221,아이폰11,5,스마트베이비,turb****,20.12.28.,삼성만 쓰다가 애플쓰려니 등록하기가 힘드네요.그래도 등록하고나니 뿌듯하네요.,삼성만 쓰다가 애플쓰려니 등록하기가 힘드네요.그래도 등록하고나니 뿌듯하네요.
