,pl_id,text1,text2,text3
0,,,,
0,1,토요일 배송 될거라 생각했는데 월요일 배송되었네요.아이 졸업 선물로 카메라 좋은 거 해줄려고 아이폰으로 선택했습니다. 가격은 학생한테 비싸지만 4년 쓰면 된다는마음으로 구매했어요. 역시 아이폰이라 사진 찍을 때가 제일 좋네요.,"실버없어서 골드로 주문했는데, 기존 가지고있는거랑 비슷하지만 맘에 들어요~ 통신사 대리점에서는 64기가만 있어서 온라인 구매한거라 만족합니다. 다만 택배배송과정에서 물량이 많아서인지 생각보다 늦게와서 기다리느라 힘들었음요. 기사님들 추운데 고생하셨구, 잘 쓸게요^^","배송빠르고 좋았어요.단, 아이폰이 스크래치있는 초기불량제품이어서 뽑기를 잘못한듯.매우귀찮게 AS센터를 이틀에걸쳐 세번이나 방문함.초기불량 스크래치로 방문익일 제품받으러 재방문OS업데이트 중 벽돌되서 또 방문우여곡절끝에 제품을 받았는데 여튼뭐 애플공홈보다저렴한가격에 잘샀다고 생각함(아쉬운건 골드색깔이 별로...)"
0,2,토요일 배송 될거라 생각했는데 월요일 배송되었네요.아이 졸업 선물로 카메라 좋은 거 해줄려고 아이폰으로 선택했습니다. 가격은 학생한테 비싸지만 4년 쓰면 된다는마음으로 구매했어요. 역시 아이폰이라 사진 찍을 때가 제일 좋네요.,"실버없어서 골드로 주문했는데, 기존 가지고있는거랑 비슷하지만 맘에 들어요~ 통신사 대리점에서는 64기가만 있어서 온라인 구매한거라 만족합니다. 다만 택배배송과정에서 물량이 많아서인지 생각보다 늦게와서 기다리느라 힘들었음요. 기사님들 추운데 고생하셨구, 잘 쓸게요^^","배송빠르고 좋았어요.단, 아이폰이 스크래치있는 초기불량제품이어서 뽑기를 잘못한듯.매우귀찮게 AS센터를 이틀에걸쳐 세번이나 방문함.초기불량 스크래치로 방문익일 제품받으러 재방문OS업데이트 중 벽돌되서 또 방문우여곡절끝에 제품을 받았는데 여튼뭐 애플공홈보다저렴한가격에 잘샀다고 생각함(아쉬운건 골드색깔이 별로...)"
0,3,백오십에 육박하는 상품을 택배로 받으려니 덜덜...상자에 심플하게 담겨옴. 에어캡이라도 빈 공간이 넣어서 상자안에서 안돌아다니게 했으면 더 좋지 않을까. 이전 아이폰의 버벅댐이 극적으로 사라지고 모든 버튼이 빨리 열리고 날아다닌다. 새폰이 이래서 좋구나. 구아이폰에서 데이터 전송이 잘 안돼 서비스센터 두번 통화 끝에 해결함.,믿고 구매한 아이폰11 pro max 256gb 를 선택하였습니다아들놈 힘내라고 구매했는데 자급제이고 여러 제악이 없는 폰이라 더욱 만족합니다색상은 골드로 선택했구요 만족해하니 좋네요한달 사용후 후기도 올려보겠습니다(추천합니다) 포인트 넣어주세요 기본사은품이더군요유용하게 사용하겠습니다,역시 카메라 화질 성능 모두모두 뛰어납니다무거운 건 적응 되겠죠? ㅎㅎ;;
0,4,친절하시구 배송도 빠르고 개통도 후개통인데 바로 됐고 가격도 방문하는거 제외 인터넷가로 제일 저렴했고 다 좋았는데 별을 하나 뺀 이유는.. 1~3지망 물어보실때부터 스그 오겠구나 싶었는데.. 진짜 3지망인 스그가와서.. 원래부터 스그밖에 재고가 없었던게 아닌가 하는 생각이 들어서 속상한 마음에 별 하나 뺍니다.... 제가 스페이스그레이 컬러를 정말 싫어해서 ㅠㅠㅋㅋㅋ 뭐 어차피 케이스 끼고 다니니 상관 없다 생각할 순 있지만 그래도 좀 속상...orz,완납폰 중에 여기가 제일 저렴했어요~ 카드할인에 할부까지 넘넘 혜택 좋았고 판매자분 친절하시고 배송도 다음날 바로 왔어요~ Se쓰다가 넘 커져서 어색하지만 텐s 예뻐요~ 텀블러도 필름도 넘넘 감사합니다,스그 오래걸릴줄알았는데 다행히 월요일에 구매해서 목요일에 받았어용 처음에 온할때 화면마니 누래서 다시받아야하나 했는데 설정하고 하면서 덜 누래졌는데 원래 전체적으로 조금 누런가봐요 보는각도마다 약간 다른것같아요 암튼 sk기변 256 쿠폰써서 잘샀습니당 혹시 싸구려 필름이나 케이스 하나정도 주면 좋겠다했는데ㅠㅠㅠㅠ 아쉽네유 5s쓰다가 갑자기 엑스에스 쓰려니 너무 크긴한데 좋네용
0,5,크기도 무게도 적당해보이고 만족합니다,"다른곳은 결재후에도 취소되신분도 있던데, 친절하게 해피콜 응대해주시고 바로 다음날 배송이 되었네요. 개통이 안되나싶어 불안한 마음에 몇일 기다렸는데 다행히 정상 개통되어 기다린 보람이 있더라구요. 좋은 가격에 사고 싶었던 아이폰이였는데 색상도 이쁘고 좋은 제품 감사합니다.",핸드폰도 고급스럽고 이쁘고 화면도 크고 굳
0,6,잘받았습니다 무결점에 아주 좋네요 색상도 아이가 무척 마음에 들어합니다 응대해주신분도 친절하시네요 많이 파세요~,구매 전에 재고 확인하고 돈 추가해서 용량 더 큰거로 구매했어요. 구매 다음날 왔고요. 배송빠르고 좋았어요 망설이다가 원하는 색상재고 빠져서 후회했어요,생각보다 디자인이 예쁘고 카메라 화질도 너무 좋고 배송도 빨랐어요. 기대했던 만큼 만족합니다.
0,7,13일 오전에 우체국택배로 받았어요.S7 사용하시던 엄마가 S10 화이트 무지갯빛 돌아서 예쁘다고좋아하시니까 기쁘네요+바로 몇시간후 사은품 실리콘케이스+C타입케이블도 받음!!사실 인터넷으로 구매해서 호갱되는건 아닐까주문하고도 불안했었거든요ㅠㅠ여러번 질문 올려도 스피드하게 피드백해주셔서 안심했어요.,주말 제외하고 월요일에 해피콜받고 화욜에 상품 받았습니다.실버 찾던 중 재고가 너무 없어서 인터넷에서 구매했는데 만족합니다! 스벅 텀블러와 텀블러 쿠폰도 잘 받았습니다다만 보내주신 필름을 붙이고 케이스를 끼면 필름이 들뜸현상이 있어서 케이스를 바꿔 끼웠습니다.,"SKT 선약으로 쓰고 있던터라,기변시 고 요금제(5G) 또는 T 패밀리(7.9만원)짜리는쓰고싶지 않았는데 롯데닷컴에서 구매한 아이폰X 기변은낮은 요금제 까지 선택이 가능해서 너무 좋았습니다.또한, 이 제품 출시가 17.11월인데 제가 받은 상품은 18.12월 생산분이고 당연히 미개봉에 결점이 하나도 없는 양품이 도착했구요..카드랑 이런저런 쿠폰으로 많이 저렴하게 구매했는데판매자분이 워낙 친절하셔서 더할나위 없이 만족합니다.다만, 보내주신 추가 상품들은 좀 저렴한거 같아요.하지만 나름대로 무선충전패드도 잘되고(인식 완전잘됨)케이스도 그럭저럭. 당분간 보내주신 상품들로 잘 견딜수 있을것 같습니다. 사업번창하시길 바라고~덕분에 만족스런 구매를 했습니다. 1. 배송(3일내 도착)2. 가격(화면 기재된 정보와 동일)3. 제품(18.12월 생산품 수령)4. 기타(전화응대 완전 친절,,,)이상입니다."
0,8,아이폰8 좋다. 가성비가 좋다.  하지만 약간 무겁다. 7과 비교해서 눈에 띄는 성능차이는 못느낀다.,골드로 샀는데 색 은은하고 이쁘고 가벼워서 좋아요♡♡,가격만족도/성능/사용편의성 등 :비싸긴 하지만 상태/배송 :좋아요. 그 외 도움이 될 만한 사용후기 : 굿입니다.. 옥션 안드로이드 앱으로 작성
0,9,기존폰보다 화면이 커져서 좋네요 무게랑 크기도 커졌지만~ 카메라 인물모드도 만족스럽고 아직 더 써봐야 하겠지만 현재까지는 만족스럽습니다. 배송은 개통전화이후 이틀 정도 걸렸습니다.,기존폰보다 화면이 커져서 좋네요 무게랑 크기도 커졌지만~ 카메라 인물모드도 만족스럽고 아직 더 써봐야 하겠지만 현재까지는 만족스럽습니다. 배송은 개통전화이후 이틀 정도 걸렸습니다.,아이폰8플러스 256 자급제 미개봉 폰을 원했는데 검색하다가 딱 발견해서 샀습니다 정말 마음에 들어요 원래는 직구로 살려고 알아보다가 포기하고 했는데 검색하니 딱 나와서 기분이 좋네요
