,maker,code,name,model_name,storage,size,display_inch,display_cm,weight,battery,front_camera,back_camera,pl_external_storage,pl_launch
0,,,,,,,,,,,,,,
0,애플,A2215,아이폰11프로,아이폰11프로,64 GB / 256 GB / 512 GB,71.4 x 144 x 8.1,5.8,,188g,3190 mAh,4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2019. 09
0,애플,A2218,아이폰11프로맥스,아이폰11프로맥스,64 GB / 256 GB / 512 GB,77.8 x 158 x 8.1,6.5,,226g,3500 mAh,4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2019. 09
0,애플,A2097,아이폰Xs,아이폰Xs,64 GB / 256 GB / 512 GB,70.9 x 143.6 x 7.7,5.8,,177g,2658 mAh,3088 x 2316 (7.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2018. 09
0,애플,A2101,아이폰Xs 맥스,아이폰Xs 맥스,64 GB / 256 GB / 512 GB,77.4 x 157.5 x 7.9,6.5,,208g,3174 mAh,3088 x 2316 (7.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2018. 09
0,애플,A2105,아이폰XR,아이폰XR,64 GB / 128 GB / 256 GB,75.7 x 150.9 x 8.3,6.1,,194g,2942 mAh,3088 x 2316 (7.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2018. 09
0,애플,A1901,아이폰X,아이폰X,64 GB / 256 GB,70.9 x 143.6 x 7.7,5.8,,174g,2716 mAh,3088 x 2320 (7.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2017. 11
0,애플,A1905,아이폰8,아이폰8,64 GB / 256 GB,67.3 x 138.4 x 7.3,4.7,,148g,1821 mAh,(0 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2017. 09
0,애플,A1897,아이폰8플러스,아이폰8플러스,64 GB / 256 GB,78.1 x 158.4 x 7.5,5.5,,202g,2691 mAh,(0 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2017. 09
0,애플,A1778,아이폰7,아이폰7,32 GB / 128 GB / 256 GB,67.1 x 138.3 x 7.1,4.7,,138g,1960 mAh,3088 x 2320 (7.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2016. 10
0,애플,A1784,아이폰7플러스,아이폰7플러스,32 GB / 128 GB / 256 GB,77.9 x 158.2 x 7.3,5.5,,188g,2900 mAh,3088 x 2320 (7.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2016. 10
0,애플,A1723,아이폰SE,아이폰SE,16 GB / 32 GB / 64 GB / 128 GB,58.6 x 123.8 x 7.6,4,,113g,1642 mAh,(0 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2016. 05
0,애플,A1688,아이폰6s,아이폰6s,16 GB / 64 GB / 128 GB,67.1 x 138.3 x 7.1,4.7,,143g,1715 mAh,2560 x 1920 (4.9 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2015. 10
0,애플,A1687,아이폰6s 플러스,아이폰6s 플러스,16 GB / 64 GB / 128 GB,77.9 x 158.2 x 7.3,5.5,,192g,2750 mAh,2560 x 1920 (4.9 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2015. 10
