,pl_id,모델이름,링크제목,나무위키링크
0,,,,
0,1.0,iphone11,아이폰11,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B011
0,2.0,iphone11 Pro,아이폰11 프로,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B011%20%ED%94%84%EB%A1%9C
0,3.0,iphone11 Pro Max,iPhone 12 Pro Max,https://namu.wiki/w/iPhone%2012%20Pro%20Max
0,4.0,iphoneXs,파일:IMG_0883.jpg,https://namu.wiki/w/%ED%8C%8C%EC%9D%BC:IMG_0883.jpg
0,5.0,iphoneXs Max,Max Beat,https://namu.wiki/w/Max%20Beat
0,6.0,아이폰Xr,,
0,7.0,iphoneX,아이폰X,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B0X
0,8.0,iphone8,아이폰8,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B08
0,9.0,iphone8 Plus,아이폰8 플러스,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B08%20%ED%94%8C%EB%9F%AC%EC%8A%A4
0,10.0,iphone7,아이폰7,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B07
0,11.0,iphone7 Plus,아이폰7 플러스,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B07%20%ED%94%8C%EB%9F%AC%EC%8A%A4
0,12.0,iphoneSE,아이폰SE,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B0SE
0,13.0,iphone6s,아이폰6s,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B06s
0,14.0,iphone6s Plus,아이폰6s,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B06s
0,15.0,iphone6,아이폰6,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B06
0,16.0,iphone6 Plus,아이폰6,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B06
0,17.0,iphone5s,아이폰5s,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B05s
0,18.0,iphone5c,아이폰5c,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B05c
0,19.0,iphone5,아이폰5,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B05
0,20.0,iphone4s,아이폰4s,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B04s
0,21.0,iphone4,아이폰4,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B04
0,22.0,Galaxy A90 5G,갤럭시 A90 5G,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A90%205G
0,23.0,Galaxy A50,갤럭시 A50,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A50
0,24.0,Galaxy A40,갤럭시 A40,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A40
0,25.0,Galaxy A30,갤럭시 A30,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A30
0,26.0,Galaxy Wide4,갤럭시 와이드4,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%99%80%EC%9D%B4%EB%93%9C4
0,27.0,Galaxy A9 Pro,갤럭시 A9 Pro,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9%20Pro
0,28.0,Galaxy A8 Star,갤럭시 A8 Star,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A8%20Star
0,29.0,Galaxy A9 2018,갤럭시 A9,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9
0,30.0,Galaxy A8 2018,갤럭시 A8 2018,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A8%202018
0,31.0,Galaxy A6 2018,갤럭시 A6,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A6
0,32.0,Galaxy A7 2018,갤럭시 A7(2018),https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A7(2018)
