모델명,모델코드,제조회사,출시일,운영체제,판매방식,화면크기(센치),화면크기(인치),패널종류,화면해상도,ppi,최대주사율,화면비,화면면적,화면폭,화면높이,HDR규격,AP종류,코어갯수,코어클럭,그래픽코어,NPU & DSP,Sensor Hub,시스템램,내장메모리,저장장치,외장메모리,5G,4G,WI-FI주파수,블루투스,위성항법,유심타입,듀얼유심,카메라타입,후면카메라,전면카메라,동영상촬영,Flash,사진촬영 해상도,전면 해상도,전면 동영상 해상도,조리개 값,카메라 특징,손떨림보정,손떨림방지,카메라플래시,HDR촬영지원,오토HDR,광학줌,지오태그,레이저 오토포커스,오토 포커스,아웃 포커스,터치 포커스,파노라마,TOF센서,야간모드 촬영,이어폰단자,스피커,고음질재생,사운드 기술,지문인식,얼굴인식,홍채인식,음성잠금해제,AI/인공지능,전자결제,터치펜,방수/방진,기타,충전단자,배터리용량,배터리타입,배터리특징,배터리장착방식,충전지원,고속충전기술,무선충전,색상,가로,세로,두께,무게
아이폰11,A2221,애플,2019. 09,iOS 13,,,6.1,IPS,828 x 1792 픽셀,324 ppi,,,,64.99 mm,140.65 mm,,Apple A13 Bionic APL1W85,6개 (64 비트),2650 MHz,-,,,4 GB,64 GB / 128 GB / 256 GB,,미확인,LTE,4G,미확인,5,,나노유심,,,,,3840 x 2160 (-)60 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀)60 FPS,F/1.8,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,apple pay,,,,,3110 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,75.7,150.9,8.3,194g
아이폰11프로,A2215,애플,2019. 09,iOS 13,,,5.8,OLED,1125 x 2436 픽셀,463 ppi,,,,61.77 mm,133.75 mm,,Apple A13 Bionic APL1W85,6개 (64 비트),2650 MHz,-,,,4 GB,64 GB / 256 GB / 512 GB,,미확인,LTE,4G,미확인,5,,나노유심,,,,,3840 x 2160 (-)60 FPS,LED,4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀)60 FPS,F/1.8,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,apple pay,,,,,3190 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,71.4,144,8.1,188g
아이폰11프로맥스,A2218,애플,2019. 09,iOS 13,,,6.5,OLED,1242 x 2688 픽셀,456 ppi,,,,69.25 mm,149.87 mm,,Apple A13 Bionic APL1W85,6개 (64 비트),2650 MHz,-,,,4 GB,64 GB / 256 GB / 512 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)60 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀),4032 x 3024 (12.2 메가픽셀)60 FPS,F/1.8,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,apple pay,,,,,3500 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,77.8,158,8.1,226g
아이폰Xs,A2097,애플,2018. 09,iOS 12,,,5.8,OLED,1125 x 2436 픽셀,463 ppi,,,,61.77 mm,133.75 mm,,Apple A12 Bionic APL1W81,6개 (64 비트),2500 MHz,-,,,4 GB,64 GB / 256 GB / 512 GB,,미확인,LTE,4G,미확인,5,,나노유심,,,,,(-)60 FPS,,4032 x 3024 (12.2 메가픽셀),3088 x 2316 (7.2 메가픽셀),3088 x 2316 (7.2 메가픽셀)FPS,F/1.8,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,FaceID,,,,apple pay,,,,,2658 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,70.9,143.6,7.7,177g
아이폰Xs 맥스,A2101,애플,2018. 09,iOS 12,,,6.5,OLED,1242 x 2688 픽셀,456 ppi,,,,69.25 mm,149.87 mm,,Apple A12 Bionic APL1W81,6개 (64 비트),2500 MHz,-,,,4 GB,64 GB / 256 GB / 512 GB,,미확인,LTE,4G,미확인,5,,나노유심,,,,,(-)60 FPS,,4032 x 3024 (12.2 메가픽셀),3088 x 2316 (7.2 메가픽셀),3088 x 2316 (7.2 메가픽셀)FPS,F/1.8,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,FaceID,,,,apple pay,,,,,3174 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,77.4,157.5,7.9,208g
아이폰XR,A2105,애플,2018. 09,iOS 12,,,6.1,IPS,828 x 1792 픽셀,324 ppi,,,,64.99 mm,140.65 mm,,Apple A12 Bionic APL1W81,6개 (64 비트),2500 MHz,-,,,3 GB,64 GB / 128 GB / 256 GB,,미확인,LTE,4G,미확인,5,,나노유심,,,,,(-)60 FPS,,4032 x 3024 (12.2 메가픽셀),3088 x 2316 (7.2 메가픽셀),3088 x 2316 (7.2 메가픽셀)FPS,F/1.8,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,FaceID,,,,apple pay,,,,,2942 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,75.7,150.9,8.3,194g
아이폰X,A1901,애플,2017. 11,iOS 11,,,5.8,OLED,1125 x 2436 픽셀,463 ppi,,,,61.77 mm,133.75 mm,,Apple A11 Bionic APL1W72,6개 (64 비트),2100 MHz,-,,,3 GB,64 GB / 256 GB,,미확인,LTE,4G,미확인,5,,나노유심,,,,,3840 x 2160 (-)60 FPS,,4032 x 3024 (12.2 메가픽셀),3088 x 2320 (7.2 메가픽셀),3088 x 2320 (7.2 메가픽셀)30 FPS,F/1.8,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,FaceID,,,,Apple Pay,,,,,2716 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,70.9,143.6,7.7,174g
아이폰8,A1905,애플,2017. 09,iOS 11,,,4.7,IPS,750 x 1334 픽셀,326 ppi,,,,58.51 mm,104.06 mm,,Apple A11 Bionic APL1W72,6개 (64 비트),2100 MHz,-,,,2 GB,64 GB / 256 GB,,미확인,LTE,4G,미확인,5,,나노유심,,,,,(-)30 FPS,,4032 x 3024 (12.2 메가픽셀),(0 메가픽셀),(0 메가픽셀)FPS,F/1.8,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,1821 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,67.3,138.4,7.3,148g
아이폰8플러스,A1897,애플,2017. 09,iOS 11,,,5.5,IPS,1080 x 1920 픽셀,401 ppi,,,,68.49 mm,121.76 mm,,Apple A11 Bionic APL1W72,6개 (64 비트),2100 MHz,-,,,3 GB,64 GB / 256 GB,,미확인,LTE,4G,미확인,5,,나노유심,,,,,(-)30 FPS,,4032 x 3024 (12.2 메가픽셀),(0 메가픽셀),(0 메가픽셀)FPS,F/1.8,"(광학줌)
손떨림방지 카메라",,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,2691 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,78.1,158.4,7.5,202g
아이폰7,A1778,애플,2016. 10,iOS 10 | iOS 11.4,,,4.7,IPS,750 x 1334 픽셀,326 ppi,,,,58.51 mm,104.06 mm,,Apple A10 Fusion APL1W24,4개 (64 비트),2370 MHz,PowerVR,,,2 GB,32 GB / 128 GB / 256 GB,,미확인,LTE,4G,미확인,4.2,,나노유심,,,,,3840 x 2160 (-)30 FPS,,4032 x 3024 (12.2 메가픽셀),3088 x 2320 (7.2 메가픽셀),3088 x 2320 (7.2 메가픽셀)30 FPS,F/1.8,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,apple pay,,,,,1960 mAh,Li-Ion,일체형,,,,-,,67.1,138.3,7.1,138g
