,통신사,모델명,모델코드,가격
0,KT,갤럭시탭A7 라이트 ,/ SM-T225N  ,"399,300원 "
0,KT,갤럭시 Jump ,/ SM-A326K  ,"399,300원 "
0,KT,갤럭시 폴더2 2021 (2021),/ SM-G160N  ,"399,300원 "
0,KT,갤럭시 A32 ,/ SM-A325N  ,"399,300원 "
0,KT,갤럭시 A42 5G ,/ SM-A426N  ,"399,300원 "
0,KT,갤럭시 A12 ,/ SM-A125N  ,"399,300원 "
0,KT,갤럭시S21 ,/ SM-G991  ,"399,300원 "
0,KT,갤럭시S21+ ,/ SM-G996  ,"399,300원 "
0,KT,갤럭시 S21 울트라 (256GB),/ SM-G998N  ,"399,300원 "
0,KT,갤럭시 S21 울트라 (512GB),/ SM-G998N  ,"399,300원 "
0,KT,갤럭시 S20 FE ,/ SM-G781N  ,"399,300원 "
0,KT,갤럭시 탭 A7 ,/ SM-T505N  ,"399,300원 "
0,KT,갤럭시 노트20 ,/ SM-N981N  ,"399,300원 "
0,KT,갤럭시 노트20 울트라 ,/ SM-N986N  ,"399,300원 "
0,KT,갤럭시 Z 폴드2 ,/ SM-F916N  ,"399,300원 "
0,KT,갤럭시 워치3 45mm ,/ SM-R845N  ,"399,300원 "
0,KT,갤럭시 워치3 41mm ,/ SM-R855N  ,"399,300원 "
0,KT,갤럭시 Z 플립 5G ,/ SM-F707N  ,"399,300원 "
0,KT,갤럭시 A21s ,/ SM-A217N  ,"399,300원 "
0,KT,갤럭시 S20+ BTS 에디션 ,/ SM-G986N  ,"399,300원 "
0,KT,갤럭시 A31 ,/ SM-A315N  ,"399,300원 "
0,KT,갤럭시 A51 ,/ SM-A516N  ,"399,300원 "
0,KT,갤럭시 S20 ,/ SM-G981N  ,"399,300원 "
0,KT,갤럭시 S20+ ,/ SM-G986N  ,"399,300원 "
0,KT,갤럭시 S20 울트라 ,/ SM-G988N  ,"399,300원 "
0,KT,갤럭시 Z 플립 ,/ SM-F700N  ,"399,300원 "
0,KT,Samsung Galaxy A10e ,/ SM-A102N  ,"399,300원 "
0,KT,신비 키즈폰 ,/ SM-A102N0-KP  ,"399,300원 "
0,KT,갤럭시 워치 액티브2 ,/ SM-R825  ,"399,300원 "
0,KT,갤럭시 폴드 ,/ SM-F907N  ,"399,300원 "
0,KT,갤럭시 워치 액티브2 ,/ SM-R835  ,"399,300원 "
0,KT,갤럭시 A90 5G ,/ SM-A908N  ,"399,300원 "
0,KT,갤럭시 노트10 5G ,/ SM-N971N  ,"399,300원 "
0,KT,갤럭시 노트10+ 5G (256GB),/ SM-N976N  ,"399,300원 "
0,KT,갤럭시 노트10+ 5G (512GB),/ SM-N976N  ,"399,300원 "
0,KT,갤럭시 A50 ,/ SM-A505N  ,"399,300원 "
0,KT,갤럭시 진2 ,/ SM-A202K  ,"399,300원 "
0,KT,갤럭시 A30 ,/ SM-A305N  ,"399,300원 "
0,KT,갤럭시 S10 5G (256GB),/ SM-G977N  ,"399,300원 "
0,KT,갤럭시 S10 5G (512GB),/ SM-G977N  ,"399,300원 "
0,KT,갤럭시 S10+ (512GB),/ SM-G975N  ,"399,300원 "
0,KT,갤럭시 S10e 리패키징 ,/ SM-G970N  ,"399,300원 "
0,KT,갤럭시S10 리패키징 (128GB),/ SM-G973N  ,"399,300원 "
0,KT,갤럭시S10+ 리패키징 (128GB),/ SM-G975N  ,"399,300원 "
