모델명,모델코드,제조회사,출시일,운영체제,판매방식,화면크기(센치),화면크기(인치),패널종류,화면해상도,ppi,최대주사율,화면비,화면면적,화면폭,화면높이,HDR규격,AP종류,코어갯수,코어클럭,그래픽코어,NPU & DSP,Sensor Hub,통신모뎀,시스템램,내장메모리,저장장치,외장메모리,5G,4G,WI-FI주파수,블루투스,위성항법,유심타입,듀얼유심,카메라타입,후면카메라,전면카메라,동영상촬영,Flash,사진촬영 해상도,전면 해상도,전면 동영상 해상도,조리개 값,손떨림보정,손떨림방지,카메라플래시,HDR촬영지원,오토HDR,광학줌,지오태그,레이저 오토포커스,오토 포커스,아웃 포커스,터치 포커스,파노라마,TOF센서,야간모드 촬영,이어폰단자,스피커,고음질재생,사운드 기술,지문인식,얼굴인식,홍채인식,음성잠금해제,AI/인공지능,전자결제,터치펜,방수/방진,기타,충전단자,배터리용량,배터리타입,배터리특징,배터리장착방식,충전지원,고속충전기술,무선충전,색상,가로,세로,두께,무게,사이트명
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갤럭시 Z플립 5G,SM-F707,samsung,,안드로이드 10 | 11Samsung One UI 2.1 | 2.5 | 3 | 3.1,,,6.7,Dynamic AMOLED Foldable,300 x 112,425,60Hz,21.9:9,,,,,퀄컴 스냅드래곤 855+ SM8150-AC Platform.  ,,Qualcomm Kryo 485 Gold MP1 2.96 GHz + MP3 2.4 GHz CPUQualcomm Kryo 485 Silver MP4 1.78 GHz CPU,퀄컴 Adreno 640 675 MHz GPU,퀄컴 Hexagon 690 DSP,DSP 대체,Qualcomm Snapdragon X24 LTE Modem,8 GB LPDDR5 SDRAM,256, UFS 3.0,,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, Beidou",,,,"1,200만 + 1,200만",,,LED 플래시,,,,,,,,,,,,,,,,,,,,,,, 에어리어 방식 별도 센서 탑재, 전면 카메라 인식 방식,,,,,,,"Dolby Atmos 기술 탑재, FM 라디오 지원[B],  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 지자기, 홀, RGB 광, 근접",USB 2.0 Type-C x 1,3300,내장형 Li-Ion  ,"삼성전자 Adaptive Fast Charging (15 W)퀄컴 퀵 차지 2.0 (15 W), USB Power Delivery 2.0 (15 W)",,,,,기본,73.6,87.4,15.4,183,나무위키
"갤럭시 A42 5G	",SM-A426,samsung,,안드로이드 11Samsung One UI 3.1,,,6.6,Super AMOLED,1600 x 720,266,60Hz,20:09,,,,,퀄컴 스냅드래곤 750G SM7225 Platform. ,,Qualcomm Kryo 570 Gold MP2 2.2 GHz + Qualcomm Kryo 570 Silver MP6 1.8 GHz,Qualcomm Adreno 619 800 MHz,퀄컴 Hexagon 692 DSP,DSP 대체,Qualcomm Snapdragon X51 5G Modem,4 GB LPDDR4X SDRAM,128, UFS 2.1, micro SDXC (규격상 2 TB,5G,4G,,5,"GPS & A-GPS, GLONASS, Beidou",,듀얼심 지원,,"4,800만 + 800만 + 500만 + 500만"," 2,000만",,LED 플래시,,,,,,,,,,,,,,,,,,,,,,, 디스플레이 내장형, 전면 카메라 인식 방식,,,,,,,"Dolby Atmos 기술 탑재, FM 라디오 지원,  [ 기타 탑재 센서 정보 ]가속도, 조도, 자이로, 지자기, 홀, RGB 광, 근접","USB 2.0 Type-C x 1, 3.5 mm 단자 x 1",5000,내장형 Li-Ion  ,삼성전자 Adaptive Fast Charging (15 W),,,,,"프리즘 닷 블랙, 프리즘 닷 그레이, 프리즘 닷 화이트",164.4,75.9,8.6,193,나무위키
갤럭시진(A6+),SM-A605,samsung,,안드로이드 8.0 (Oreo) | 9 (Pie) | 10Samsung Experience 9.0 | Samsung One UI 1.0 | 2,,,6,Super AMOLED,2220 x 1080,411,60Hz,18.5:9,,,,,퀄컴 스냅드래곤 450 SDM450 Platform.  ,,ARM Cortex-A53 MP8 1.8 GHz CPU,퀄컴 Adreno 506 400 MHz GPU,퀄컴 Hexagon 546 DSP,DSP 대체,Qualcomm Snapdragon X9 LTE Modem,3 GB LPDDR3 SDRAM,32, eMMC 5.1, micro SDXC (규격상 2 TB,,4G,,4.2,"GPS & A-GPS, GLONASS, Beidou",,,,"1,600만 + 500만"," 2,400만",,LED 플래시,,,,,,,,,,,,,,,,,,,,,,, 에어리어 방식 별도 센서 탑재, 전면 카메라 인식 방식,,,,,,,Dolby Atmos 기술 탑재,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"블랙, 라벤더",75.7,160.2,7.9,191,나무위키
신비 키즈폰,SM-A102N0-KP,samsung,,안드로이드 9 (Pie) | 10Samsung One UI 1.5 | 2,,,5.8,PLS TFT-LCD,1560 x 720,295,60Hz,19.5:9,,,,,삼성 엑시노스 7 Series (7884) SoC.  ,,ARM Cortex-A73 MP2 1.6 GHz CPUARM Cortex-A53 MP6 1.35 GHz CPU,ARM Mali-G71 MP2 845 MHz GPU,미탑재,미탑재,(파트넘버 불명) 내장,2 /3 GB LPDDR4X SDRAM,32, eMMC 5.1, micro SDXC (규격상 2 TB,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, Beidou",,,, 800만, 800만,,,,,,,,,,,,,,,,,,,,,,,,,, 전면 카메라 인식 방식,,,,,,,국제,"USB 2.0 Type-C x 1, 3.5 mm 단자 x 1",3000,내장형 Li-Ion  ,삼성전자 Adaptive Fast Charging (15 W)USB Power Delivery 2.0 (15 W),,,,,"블랙, 화이트",69.6,147.3,8.4,141,나무위키
갤럭시 A32,SM-A325,,,안드로이드 11Samsung One UI 3.1,,,6.4,Super AMOLED,2400 x 1080,411,90Hz,20:09,,,,,미디어텍 Helio G80 MT6769V/CU SoC.  ,,ARM Cortex-A75 MP2 2 GHz CPUARM Cortex-A55 MP6 1.8 GHz CPU,ARM Mali-G52 MC2 950 MHz GPU,Cadence Tensilica Vision P6 DSP MP2 525 MHz,(파트넘버 불명) 내장,(파트넘버 불명) 내장,4 GB LPDDR4X SDRAM,64, eMMC 5.1, micro SDXC (규격상 1TB 공식 지원),,4G,,5,"GPS & A-GPS, GLONASS, Galileo",,,,"6,400만[2] + 800만 + 500만 + 500만"," 2,000만",,LED 플래시,,,,,,,,,,,,,,,,,,,,,,, 디스플레이 내장형, 전면 카메라 인식 방식,,,,,,,"Dolby Atmos 기술 탑재, FM 라디오 지원","USB 2.0 Type-C x 1, 3.5 mm 단자 x 1",5000,내장형 Li-Ion  ,삼성전자 Adaptive Fast Charging (15 W),,,,,"어썸 블랙, 어썸 화이트, 어썸 바이올렛, 어썸 블루",73.6,158.9,8.4,184,나무위키
갤럭시 Z플립 5G,SM-F707,samsung,2020. 08,안드로이드 10,,,6.7,Dynamic AMOLED,1080 x 2636,425 ppi,,,,64.52,157.48,,Qualcomm Snapdragon 865 Plus,8개 (64 비트),3090 MHz,Qualcomm Adreno 650,,,,8 GB,256 GB,,미확인,5G,5G,미확인,5.1,,나노유심 ,,,,,3840 x 2160 (-)60 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),10 MP (megapixels) (10 메가픽셀),,F/1.8,,,,,,,,,,,,,,,,,,,지문인식,,,,,samsung pay,,,, USB Type-C,3300,Li-Polymer,"급속충전
일체형",,,,무선충전 지원,,73.6,167.3,7.3,183,세티즌
"갤럭시 A42 5G	",SM-A426,samsung,2021. 03,안드로이드 11,,,6.6,Super AMOLED,1080 x 2400,266 ppi,,,,67.75,150.56,,Qualcomm Snapdragon 750G,8개 (64 비트),2200 MHz,Qualcomm Adreno 619,,,,6 | 8 GB,128 GB / 256 GB,,미확인,,,미확인,5,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,9280 x 6920 (64.2 메가픽셀),6528 x 5480 (35.8 메가픽셀),,F/1.8,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,, USB Type-C,4500,Li-Ion,"급속충전
일체형",,,,-,,75.1,159.9,8.4,193,세티즌
갤럭시진(A6+),SM-A605,samsung,2018. 06,안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,6,Super AMOLED,1080 x 2220,411 ppi,,,,66.67,137.04,,Qualcomm Snapdragon 450,8개 (64 비트),1800 MHz,Qualcomm Adreno 506,,,,3 | 4 GB,32 GB / 64 GB,,미확인,,4G,미확인,4.2,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4608 x 3456 (15.9 메가픽셀),5664 x 4248 (24.1 메가픽셀),,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,, 마이크로 USB,3500,Li-Ion,일체형,,,,-,,75.7,160.2,7.9,191,세티즌
신비 키즈폰,SM-A102N0-KP,samsung,2020. 01,안드로이드 9.0 Pie,,,5.83,PLS,720 x 1560,295 ppi,,,,62.05,134.45,,Samsung Exynos 7 Octa 7884,8개 (64 비트),1600 MHz,ARM Mali-G71,,,,2 GB,32 GB,,미확인,,4G,미확인,5,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,3264 x 2448 (8 메가픽셀),2560 x 1920 (4.9 메가픽셀),,F/1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,, USB Type-C,3000,Li-Polymer,일체형,,,,-,,69.6,147.3,8.4,141,세티즌
갤럭시 A32,SM-A325,,2021. 03,안드로이드 11,,,6.4,Super AMOLED,1080 x 2400,411 ppi,,,,66.71,148.24,,MediaTek Helio G85,8개 (64 비트),2000 MHz,ARM Mali-G52 2EEMC2,,,,4 | 6 | 8 GB,64 GB / 128 GB,,미확인,,4G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)30 FPS,LED,9280 x 6920 (64.2 메가픽셀),20 MP (megapixels) (20 메가픽셀),,F/1.8,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,, USB Type-C,5000,Li-Ion,"급속충전
일체형",,,,-,,73.6,158.9,8.4,184,세티즌
갤럭시 Z플립 5G,SM-F707,samsung,,안드로이드10,공기계-새제품,,-6.7,D-AMOLED,2636x1080,425,60Hz,22:09,82.50%,,,HDR10+,스냅드래곤865+,옥타(8)코어,3.09GHz+2.4GHz+1.8GHz,Adreno 650,,,,8GB,:256GB,UFS3.0,MicroSD 미지원,5G NR,LTE-A Cat.20,802.11 a/b/g/n/ac/ax,블루투스v5.0,,나노유심,,,"1,200만화소+1,200만화소","1,000만화소",4k@30fps,,,,,F1.8,광학식손떨림보정(OIS),○,○,○,,,,,○,,,○,,,,,,,지문인식(측면),,,,,삼성페이,,,,USB타입C,3300,,,배터리일체형,최대15W,고속충전지원,Qi무선충전: 최대9W,,73.6,167.3,7.2,183,다나와
"갤럭시 A42 5G	",SM-A426,samsung,,안드로이드10,공기계-새제품,,-6.6,S-AMOLED,1600x720,266,60Hz,20:09,84.30%,,,,스냅드래곤750G,옥타(8)코어,2.2GHz+1.8GHz,Adreno 619,,,,4GB,:128GB,UFS2.1,microSD:최대1TB,5G NR,LTE-A,802.11 a/b/g/n/ac,블루투스v5.0,,나노유심,,,"4,800만화소+800만화소+500만화소+500만화소","2,000만화소",4k@30fps,,,,,F1.8,,,,,,,,,,,,,,,3.5mm,모노(1개),,,지문인식(온스크린),,,,,,,,,USB타입C,5000,,,배터리일체형,최대15W,고속충전지원,,,75.9,164.4,8.6,193,다나와
갤럭시진(A6+),SM-A605,samsung,,안드로이드8.0 오레오,가개통/중고,,-6,S-AMOLED,2220x1080,411,,,,,,,스냅드래곤450,옥타(8)코어,1.8GHz,Adreno 506,,,,3GB,:32GB,,,,,,,,,,,"1,600만화소+500만화소","2,400만화소",,,,,,,,,,,,,○,,,,○,,,,3.5mm,모노(1개),24비트 음원재생,,지문인식,얼굴인식,,,빅스비,,,,,마이크로5핀,3500,,,배터리일체형,,,,,75.7,160.2,7.9,191,다나와
신비 키즈폰,SM-A102N0-KP,samsung,,안드로이드9.0 파이,통신사가입-KT,,-5.83,PLS-LCD,1560x720,295,60Hz,19.5:9,81.40%,,,,엑시노스7884,옥타(8)코어,1.6GHz+1.35GHz,Mali G71,,,,2GB,:32GB,,,,,,,,,,,800만화소,800만화소,"1080p(FHD),30fps",,,,,F1.9,,,,,,,,,,,,,,,3.5mm,모노(1개),,,,,,,,,,,,USB타입C,3000,,,배터리일체형,,,,,69.7,147.4,8.4,141,다나와
갤럭시 A32,SM-A325,,,안드로이드11,공기계-새제품,,-6.4,S-AMOLED,2400x1080,411,90Hz,20:09,84.60%,,,,미디어텍 Helio G80,옥타(8)코어,2.0GHz+1.8GHz,Mali G52,,,,4GB,:64GB,,,,,,,,,,,"6,400만화소+800만화소+500만화소+500만화소","2,000만화소","1080p(FHD),30fps",,,,,F1.8,,,,,,,,,,,,,,,3.5mm,모노(1개),,,지문인식(온스크린),,,,,,,,,USB타입C,5000,,,배터리일체형,최대15W,고속충전지원,,,73.6,158.9,8.4,184,다나와
