site_name,model_name,model_code,maker,lauch,os,sell_type,display_inch,display_centi,panel_type,resolution,ppi,refresh_rate,display_ratio,display_area,display_width,display_height,hdr_standard,ap_type,core_num,core_clock,graphic_core,npu_dsp,sensor_hub,com_modem,system_ram,in_mem,storage_device,out_mem,5G,4G,wifi,bluetooth,satelite,usim_type,dual_usim,cam_type,back_cam,front_cam,video,flash,picture_resol,front_disp_resol,front_video_resol,apecture,cam_char,trem_correction,trem_prevention,cam_flash,hdr_support,auto_hdr,optic_zoom,zio_tag,lazer_auto_focus,auto_focus,out_focus,touch_focus,panorama,tof_sensor,shoot_night_mode,earphone_term,speaker,high_sound_qual_play,sound_tech,fingerprint_recog,face_recog,iris_recog,speech_recog,ai,elec_payment,touch_pen,waterproof,etc,charge_term,battery_storage,battery_type,battery_char,battery_mount_method,charge_support,high_speed_charge,wireless_charge,color,length,width,thickness,weight
다나와,아이폰11,A2221,"
APPLE (
							제조사 웹사이트 바로가기)
												",,출시OS: iOS13,통신사가입-SKT,,15.49cm(6.1인치),IPS-LCD,1792x828,326ppi,60Hz,19.5:9,79.00%,,,,애플 A13 Bionic,헥사(6)코어,,,,,,램:4GB,내장:128GB,,MicroSD 미지원,,LTE-A Cat.19,802.11 a/b/g/n/ac/ax,블루투스v5.0,,나노유심,,,"후면:1,200만화소+1,200만화소","전면:1,200만화소+TOF 3D","동영상:2160p(UHD),24fps",,,,,F1.8,,광학식손떨림보정(OIS)+전자식손떨림보정(EIS),,,,,,,,,,,,,,,스피커:스테레오(2개),,,,FaceID,,,Siri,애플페이(국내미지원),,IP68,,라이트닝8핀,"3,110mAh",,,배터리일체형,최대18W,고속충전지원,Qi무선충전,,가로:75.7mm,세로:150.9mm,두께:8.3mm,무게:194g
다나와,아이폰11 Pro,A2215,"
APPLE (
							제조사 웹사이트 바로가기)
												",,출시OS: iOS13,공기계-새제품,,14.73cm(5.8인치),OLED,2436x1125,458ppi,60Hz,19.5:9,82.10%,,,돌비비젼+HDR10,애플 A13 Bionic,헥사(6)코어,,,,,,램:4GB,내장:256GB,,MicroSD 미지원,,LTE-A Cat.19,802.11 a/b/g/n/ac/ax,블루투스v5.0,,나노유심,,,"후면:1,200만화소+1,200만화소+1,200만화소","전면:1,200만화소+TOF 3D","동영상:2160p(UHD),24fps",,,,,F1.8,,광학식손떨림보정(OIS)+전자식손떨림보정(EIS),○,,○,,○,,,○,,,,○,○,,스피커:스테레오(2개),,,,FaceID,,,Siri,애플페이(국내미지원),,IP68,,라이트닝8핀,"3,190mAh",,,배터리일체형,최대18W,USB PD3.0,Qi무선충전,,가로:71.4mm,세로:144mm,두께:8.1mm,무게:188g
다나와,아이폰11 Pro Max,A2218,"
APPLE (
							제조사 웹사이트 바로가기)
												",,출시OS: iOS13,공기계-새제품,,16.51cm(6.5인치),OLED,2688x1242,458ppi,60Hz,19.5:9,83.70%,,,돌비비젼+HDR10,애플 A13 Bionic,헥사(6)코어,,,,,,램:4GB,내장:512GB,,MicroSD 미지원,,LTE-A Cat.19,802.11 a/b/g/n/ac/ax,블루투스v5.0,,나노유심,,,"후면:1,200만화소+1,200만화소+1,200만화소","전면:1,200만화소+TOF 3D","동영상:2160p(UHD),24fps",,,,,F1.8,,광학식손떨림보정(OIS)+전자식손떨림보정(EIS),○,,○,,○,,,○,,,,○,○,,스피커:스테레오(2개),,,,FaceID,,,Siri,애플페이(국내미지원),,IP68,,라이트닝8핀,"3,500mAh",,,배터리일체형,최대18W,USB PD3.0,Qi무선충전,,가로:77.8mm,세로:158mm,두께:8.1mm,무게:226g
다나와,아이폰Xs,A2097,"
APPLE (
							제조사 웹사이트 바로가기)
												",,출시OS: iOS12,가개통/중고,,14.73cm(5.8인치),S-AMOLED,2436x1125,458ppi,60Hz,19.5:9,82.90%,,,돌비비젼+HDR10,애플 A12 Bionic,헥사(6)코어,2.5GHz+1.53GHz,APPLE G11P,,,,램:4GB,내장:64GB,NVMe,MicroSD 미지원,,LTE-A Cat.16,802.11 a/b/g/n/ac,블루투스v5.0,,나노유심,,,"후면:1,200만화소+1,200만화소",전면:700만화소,"동영상:2160p(UHD),24fps",,,,,F1.8,,광학식손떨림보정(OIS),○,○,○,,○,,,○,,,,,,,스피커:스테레오(2개),24비트 음원재생,,,FaceID,,,Siri,애플페이(국내미지원),,IP68,,라이트닝8핀,,,,배터리일체형,최대15W,고속충전지원,Qi무선충전: 최대7.5W,,가로:70.9mm,세로:143.6mm,두께:7.7mm,무게:177g
다나와,아이폰Xs Max,A2101,"
APPLE (
							제조사 웹사이트 바로가기)
												",,출시OS: iOS12,가개통/중고,,16.51cm(6.5인치),S-AMOLED,2688x1242,458ppi,60Hz,19.5:9,84.40%,,,돌비비젼+HDR10,애플 A12 Bionic,헥사(6)코어,2.5GHz+1.53GHz,APPLE G11P,,,,램:4GB,내장:64GB,NVMe,MicroSD 미지원,,LTE-A Cat.16,802.11 a/b/g/n/ac,블루투스v5.0,,나노유심,,,"후면:1,200만화소+1,200만화소",전면:700만화소,"동영상:2160p(UHD),24fps",,,,,F1.8,,광학식손떨림보정(OIS),○,○,○,,○,,,○,,,,,,,스피커:스테레오(2개),24비트 음원재생,,,FaceID,,,Siri,애플페이(국내미지원),,IP68,,라이트닝8핀,,,,배터리일체형,최대15W,고속충전지원,Qi무선충전: 최대7.5W,,가로:77.4mm,세로:157.5mm,두께:7.7mm,무게:208g
다나와,아이폰Xr,A2105,"
APPLE (
							제조사 웹사이트 바로가기)
												",,출시OS: iOS12,가개통/중고,,15.49cm(6.1인치),IPS-LCD,1792x828,326ppi,60Hz,19.5:9,79%,,,돌비비젼+HDR10,애플 A12 Bionic,헥사(6)코어,2.5GHz+1.53GHz,APPLE G11P,,,,램:3GB,내장:64GB,NVMe,MicroSD 미지원,,LTE-A Cat.12,802.11 a/b/g/n/ac,블루투스v5.0,,나노유심,,,"후면:1,200만화소",전면:700만화소,"동영상:2160p(UHD),24fps",,,,,F1.8,,광학식손떨림보정(OIS),○,○,○,,,,,○,,,,,,,스피커:스테레오(2개),24비트 음원재생,,,FaceID,,,Siri,애플페이(국내미지원),,IP67,,라이트닝8핀,"2,942mAh",,,배터리일체형,최대15W,고속충전지원,Qi무선충전: 최대7.5W,,가로:75mm,세로:150.9mm,두께:8.3mm,무게:194g
다나와,아이폰X,A1901,"
APPLE (
							제조사 웹사이트 바로가기)
												",,출시OS: iOS 11,가개통/중고,,14.73cm(5.8인치),AMOLED,2436x1125,458ppi,60Hz,19.5:9,92%,,,돌비비젼+HDR10,애플 A11 Bionic,헥사(6)코어,2.4GHz+1.3GHz,,,,,램:3GB,내장:64GB,NVMe,MicroSD 미지원,,LTE-A Cat.12,802.11 a/b/g/n/ac,블루투스v5.0,,나노유심,,,"후면:1,200만화소+1,200만화소",전면:700만화소,"동영상:2160p(UHD),60fps",,,,,F1.8,,광학식손떨림보정(OIS),○,○,○,,○,○,,○,,○,,,,,스피커:스테레오(2개),,,,FaceID,,,Siri,애플페이(국내미지원),,IP67,,라이트닝8핀,"2,716mAh",,,배터리일체형,최대15W,,Qi무선충전: 최대7.5W,,가로:70.9mm,세로:143.6mm,두께:7.7mm,무게:174g
다나와,아이폰8 Plus,A1897,"
APPLE (
							제조사 웹사이트 바로가기)
												",,출시OS: iOS 11,가개통/중고,,13.97cm(5.5인치),IPS-LCD,1920x1080,401ppi,60Hz,16:09,79.10%,,,,애플 A11 Bionic,헥사(6)코어,2.4GHz+1.3GHz,,,,,램:3GB,내장:64GB,NVMe,MicroSD 미지원,,LTE-A Cat.12,802.11 a/b/g/n/ac,블루투스v5.0,,나노유심,,,"후면:1,200만화소+1,200만화소",전면:700만화소,"동영상:2160p(UHD),60fps",,,,,F1.8,,광학식손떨림보정(OIS),○,○,○,,○,○,,○,,○,,,,,스피커:스테레오(2개),,,지문인식,,,,Siri,애플페이(국내미지원),,IP67,,라이트닝8핀,"2,675mAh",,,배터리일체형,최대15W,,Qi무선충전: 최대7.5W,,가로:78.1mm,세로:158.4mm,두께:7.5mm,무게:202g
다나와,아이폰7,A1778,"
APPLE (
							제조사 웹사이트 바로가기)
												",,출시OS: iOS10,가개통/중고,,11.93cm(4.7인치),IPS-LCD,1334x750,326ppi,,16:09,77.70%,,,,애플A10 Fusion,쿼드(4)코어,2.3GHz,PowerVR GT7600+,,,,램:2GB,내장:32GB,NVMe,MicroSD 미지원,,LTE-A Cat.9,802.11 a/b/g/n/ac,블루투스v4.2,,나노유심,,,"후면:1,200만화소","전면:700만화소, F2.2","동영상:2160p(UHD),30fps",,,,,F1.8,,광학식손떨림보정(OIS),○,○,○,,,○,,○,,○,,,,,스피커:스테레오(2개),,,지문인식,,,,Siri,애플페이(국내미지원),,IP67,,라이트닝8핀,"1,960mAh",,,배터리일체형,,,,,가로:67.1mm,세로:138.3mm,두께:7.1mm,무게:138g
다나와,아이폰7 Plus,A1784,"
APPLE (
							제조사 웹사이트 바로가기)
												",,출시OS: iOS10,가개통/중고,,13.97cm(5.5인치),IPS-LCD,1920x1080,401ppi,,16:09,79.20%,,,,애플A10 Fusion,쿼드(4)코어,2.3GHz,PowerVR GT7600+,,,,램:3GB,내장:32GB,NVMe,MicroSD 미지원,,LTE-A Cat.9,802.11 a/b/g/n/ac,블루투스v4.2,,나노유심,,,"후면:1,200만화소",전면:700만화소,"동영상:2160p(UHD),30fps",,,,,F1.8,,광학식손떨림보정(OIS),○,○,○,,,○,,○,,○,,,,,스피커:스테레오(2개),,,지문인식,,,,Siri,애플페이(국내미지원),,IP67,,라이트닝8핀,"2,900mAh",,,배터리일체형,,,,,가로:77.9mm,세로:158.2mm,두께:7.3mm,무게:188g
